 numangles= 181
  g= 5.55944D-01
   scat. angle           m2               m1              s21              d21           phase func.      polarization  
    5.5000D+01       1.3017D+00       1.6956D+00       1.4144D+00       2.9310D-01       1.4986D+00       1.3141D-01
    5.6000D+01       1.2457D+00       1.6349D+00       1.3529D+00       2.8948D-01       1.4403D+00       1.3510D-01
    5.7000D+01       1.1920D+00       1.5761D+00       1.2934D+00       2.8547D-01       1.3840D+00       1.3877D-01
    5.8000D+01       1.1405D+00       1.5192D+00       1.2361D+00       2.8110D-01       1.3298D+00       1.4240D-01
    5.9000D+01       1.0911D+00       1.4642D+00       1.1808D+00       2.7637D-01       1.2777D+00       1.4601D-01
    6.0000D+01       1.0440D+00       1.4112D+00       1.1275D+00       2.7133D-01       1.2276D+00       1.4957D-01
    6.1000D+01       9.9887D-01       1.3600D+00       1.0763D+00       2.6598D-01       1.1794D+00       1.5308D-01
    6.2000D+01       9.5581D-01       1.3106D+00       1.0271D+00       2.6036D-01       1.1332D+00       1.5655D-01
    6.3000D+01       9.1473D-01       1.2631D+00       9.7983D-01       2.5449D-01       1.0889D+00       1.5996D-01
    6.4000D+01       8.7558D-01       1.2174D+00       9.3448D-01       2.4840D-01       1.0465D+00       1.6331D-01
    6.5000D+01       8.3829D-01       1.1734D+00       8.9101D-01       2.4210D-01       1.0059D+00       1.6659D-01
    6.6000D+01       8.0281D-01       1.1312D+00       8.4936D-01       2.3563D-01       9.6702D-01       1.6981D-01
    6.7000D+01       7.6908D-01       1.0907D+00       8.0950D-01       2.2901D-01       9.2990D-01       1.7294D-01
    6.8000D+01       7.3703D-01       1.0519D+00       7.7138D-01       2.2226D-01       8.9445D-01       1.7600D-01
    6.9000D+01       7.0660D-01       1.0147D+00       7.3493D-01       2.1540D-01       8.6062D-01       1.7897D-01
    7.0000D+01       6.7772D-01       9.7900D-01       7.0012D-01       2.0845D-01       8.2836D-01       1.8185D-01
    7.1000D+01       6.5035D-01       9.4489D-01       6.6689D-01       2.0145D-01       7.9762D-01       1.8464D-01
    7.2000D+01       6.2441D-01       9.1226D-01       6.3518D-01       1.9440D-01       7.6833D-01       1.8732D-01
    7.3000D+01       5.9984D-01       8.8106D-01       6.0493D-01       1.8733D-01       7.4045D-01       1.8990D-01
    7.4000D+01       5.7659D-01       8.5126D-01       5.7610D-01       1.8025D-01       7.1392D-01       1.9236D-01
    7.5000D+01       5.5460D-01       8.2279D-01       5.4863D-01       1.7319D-01       6.8869D-01       1.9471D-01
    7.6000D+01       5.3380D-01       7.9561D-01       5.2247D-01       1.6616D-01       6.6471D-01       1.9694D-01
    7.7000D+01       5.1415D-01       7.6967D-01       4.9755D-01       1.5918D-01       6.4191D-01       1.9903D-01
    7.8000D+01       4.9558D-01       7.4492D-01       4.7382D-01       1.5226D-01       6.2025D-01       2.0100D-01
    7.9000D+01       4.7805D-01       7.2130D-01       4.5123D-01       1.4541D-01       5.9968D-01       2.0282D-01
    8.0000D+01       4.6151D-01       6.9877D-01       4.2973D-01       1.3865D-01       5.8014D-01       2.0449D-01
    8.1000D+01       4.4590D-01       6.7729D-01       4.0926D-01       1.3199D-01       5.6159D-01       2.0601D-01
    8.2000D+01       4.3117D-01       6.5679D-01       3.8978D-01       1.2544D-01       5.4398D-01       2.0738D-01
    8.3000D+01       4.1729D-01       6.3723D-01       3.7123D-01       1.1901D-01       5.2726D-01       2.0857D-01
    8.4000D+01       4.0420D-01       6.1857D-01       3.5356D-01       1.1271D-01       5.1139D-01       2.0960D-01
    8.5000D+01       3.9187D-01       6.0076D-01       3.3672D-01       1.0654D-01       4.9631D-01       2.1044D-01
    8.6000D+01       3.8025D-01       5.8375D-01       3.2068D-01       1.0052D-01       4.8200D-01       2.1109D-01
    8.7000D+01       3.6931D-01       5.6749D-01       3.0538D-01       9.4648D-02       4.6840D-01       2.1155D-01
    8.8000D+01       3.5900D-01       5.5196D-01       2.9077D-01       8.8929D-02       4.5548D-01       2.1181D-01
    8.9000D+01       3.4930D-01       5.3710D-01       2.7683D-01       8.3367D-02       4.4320D-01       2.1186D-01
    9.0000D+01       3.4017D-01       5.2287D-01       2.6349D-01       7.7967D-02       4.3152D-01       2.1169D-01
    9.1000D+01       3.3157D-01       5.0923D-01       2.5074D-01       7.2731D-02       4.2040D-01       2.1130D-01
    9.2000D+01       3.2348D-01       4.9616D-01       2.3852D-01       6.7660D-02       4.0982D-01       2.1067D-01
    9.3000D+01       3.1587D-01       4.8360D-01       2.2681D-01       6.2757D-02       3.9974D-01       2.0981D-01
