 numangles= 181
  g= 4.92490D-01
   scat. angle           m2               m1              s21              d21           phase func.      polarization  
    5.5000D+01       6.0070D-01       1.4692D+00       5.8599D-01       4.2528D-01       1.0350D+00       4.1959D-01
    5.6000D+01       5.7277D-01       1.4313D+00       5.4859D-01       4.1522D-01       1.0020D+00       4.2839D-01
    5.7000D+01       5.4646D-01       1.3950D+00       5.1288D-01       4.0546D-01       9.7072D-01       4.3706D-01
    5.8000D+01       5.2169D-01       1.3602D+00       4.7876D-01       3.9598D-01       9.4095D-01       4.4557D-01
    5.9000D+01       4.9838D-01       1.3269D+00       4.4612D-01       3.8677D-01       9.1264D-01       4.5391D-01
    6.0000D+01       4.7646D-01       1.2949D+00       4.1488D-01       3.7780D-01       8.8570D-01       4.6205D-01
    6.1000D+01       4.5586D-01       1.2643D+00       3.8495D-01       3.6906D-01       8.6006D-01       4.6997D-01
    6.2000D+01       4.3651D-01       1.2348D+00       3.5627D-01       3.6051D-01       8.3565D-01       4.7764D-01
    6.3000D+01       4.1835D-01       1.2065D+00       3.2878D-01       3.5215D-01       8.1242D-01       4.8505D-01
    6.4000D+01       4.0133D-01       1.1793D+00       3.0241D-01       3.4396D-01       7.9029D-01       4.9218D-01
    6.5000D+01       3.8537D-01       1.1531D+00       2.7713D-01       3.3592D-01       7.6921D-01       4.9901D-01
    6.6000D+01       3.7042D-01       1.1279D+00       2.5288D-01       3.2803D-01       7.4914D-01       5.0554D-01
    6.7000D+01       3.5642D-01       1.1036D+00       2.2964D-01       3.2028D-01       7.3001D-01       5.1177D-01
    6.8000D+01       3.4331D-01       1.0803D+00       2.0734D-01       3.1268D-01       7.1179D-01       5.1768D-01
    6.9000D+01       3.3105D-01       1.0578D+00       1.8596D-01       3.0521D-01       6.9441D-01       5.2327D-01
    7.0000D+01       3.1957D-01       1.0361D+00       1.6546D-01       2.9789D-01       6.7785D-01       5.2855D-01
    7.1000D+01       3.0884D-01       1.0153D+00       1.4579D-01       2.9071D-01       6.6205D-01       5.3350D-01
    7.2000D+01       2.9882D-01       9.9515D-01       1.2692D-01       2.8369D-01       6.4698D-01       5.3814D-01
    7.3000D+01       2.8945D-01       9.7577D-01       1.0881D-01       2.7682D-01       6.3261D-01       5.4245D-01
    7.4000D+01       2.8071D-01       9.5708D-01       9.1426D-02       2.7011D-01       6.1890D-01       5.4643D-01
    7.5000D+01       2.7257D-01       9.3906D-01       7.4721D-02       2.6356D-01       6.0581D-01       5.5008D-01
    7.6000D+01       2.6499D-01       9.2167D-01       5.8661D-02       2.5717D-01       5.9333D-01       5.5338D-01
    7.7000D+01       2.5796D-01       9.0488D-01       4.3213D-02       2.5094D-01       5.8142D-01       5.5633D-01
    7.8000D+01       2.5145D-01       8.8867D-01       2.8343D-02       2.4486D-01       5.7006D-01       5.5891D-01
    7.9000D+01       2.4543D-01       8.7302D-01       1.4020D-02       2.3894D-01       5.5922D-01       5.6112D-01
    8.0000D+01       2.3990D-01       8.5788D-01       2.1500D-04       2.3316D-01       5.4889D-01       5.6294D-01
    8.1000D+01       2.3483D-01       8.4325D-01      -1.3098D-02       2.2752D-01       5.3904D-01       5.6436D-01
    8.2000D+01       2.3020D-01       8.2911D-01      -2.5943D-02       2.2201D-01       5.2965D-01       5.6538D-01
    8.3000D+01       2.2599D-01       8.1542D-01      -3.8341D-02       2.1663D-01       5.2071D-01       5.6599D-01
    8.4000D+01       2.2220D-01       8.0217D-01      -5.0312D-02       2.1136D-01       5.1218D-01       5.6618D-01
    8.5000D+01       2.1879D-01       7.8935D-01      -6.1873D-02       2.0620D-01       5.0407D-01       5.6595D-01
    8.6000D+01       2.1575D-01       7.7693D-01      -7.3041D-02       2.0115D-01       4.9634D-01       5.6531D-01
    8.7000D+01       2.1307D-01       7.6490D-01      -8.3829D-02       1.9620D-01       4.8898D-01       5.6426D-01
    8.8000D+01       2.1072D-01       7.5325D-01      -9.4251D-02       1.9134D-01       4.8198D-01       5.6281D-01
    8.9000D+01       2.0869D-01       7.4196D-01      -1.0432D-01       1.8658D-01       4.7532D-01       5.6096D-01
    9.0000D+01       2.0695D-01       7.3102D-01      -1.1405D-01       1.8190D-01       4.6899D-01       5.5872D-01
    9.1000D+01       2.0550D-01       7.2041D-01      -1.2345D-01       1.7732D-01       4.6296D-01       5.5611D-01
    9.2000D+01       2.0432D-01       7.1014D-01      -1.3253D-01       1.7282D-01       4.5723D-01       5.5314D-01
    9.3000D+01       2.0339D-01       7.0017D-01      -1.4130D-01       1.6840D-01       4.5178D-01       5.4981D-01
    9.4000D+01       2.0269D-01       6.9051D-01      -1.4978D-01       1.6408D-01       4.4660D-01       5.4615D-01
    9.5000D+01       2.0222D-01       6.8114D-01      -1.5798D-01       1.5984D-01       4.4168D-01       5.4216D-01
    9.6000D+01       2.0196D-01       6.7206D-01      -1.6591D-01       1.5569D-01       4.3701D-01       5.3786D-01
    9.7000D+01       2.0191D-01       6.6325D-01      -1.7357D-01       1.5163D-01       4.3258D-01       5.3324D-01
    9.8000D+01       2.0205D-01       6.5471D-01      -1.8099D-01       1.4765D-01       4.2838D-01       5.2833D-01
    9.9000D+01       2.0238D-01       6.4642D-01      -1.8817D-01       1.4376D-01       4.2440D-01       5.2313D-01
    1.0000D+02       2.0289D-01       6.3838D-01      -1.9513D-01       1.3996D-01       4.2063D-01       5.1765D-01
    1.0100D+02       2.0357D-01       6.3057D-01      -2.0187D-01       1.3623D-01       4.1707D-01       5.1190D-01
    1.0200D+02       2.0443D-01       6.2300D-01      -2.0840D-01       1.3259D-01       4.1371D-01       5.0588D-01
    1.0300D+02       2.0544D-01       6.1565D-01      -2.1474D-01       1.2903D-01       4.1054D-01       4.9960D-01
    1.0400D+02       2.0661D-01       6.0852D-01      -2.2089D-01       1.2554D-01       4.0756D-01       4.9307D-01
    1.0500D+02       2.0793D-01       6.0159D-01      -2.2686D-01       1.2213D-01       4.0476D-01       4.8630D-01
    1.0600D+02       2.0939D-01       5.9487D-01      -2.3266D-01       1.1879D-01       4.0213D-01       4.7930D-01
    1.0700D+02       2.1099D-01       5.8834D-01      -2.3829D-01       1.1552D-01       3.9967D-01       4.7208D-01
    1.0800D+02       2.1273D-01       5.8200D-01      -2.4376D-01       1.1231D-01       3.9736D-01       4.6465D-01
    1.0900D+02       2.1459D-01       5.7584D-01      -2.4908D-01       1.0917D-01       3.9522D-01       4.5703D-01
    1.1000D+02       2.1658D-01       5.6986D-01      -2.5425D-01       1.0608D-01       3.9322D-01       4.4923D-01
    1.1100D+02       2.1867D-01       5.6406D-01      -2.5927D-01       1.0306D-01       3.9136D-01       4.4125D-01
    1.1200D+02       2.2088D-01       5.5842D-01      -2.6416D-01       1.0009D-01       3.8965D-01       4.3313D-01
    1.1300D+02       2.2319D-01       5.5294D-01      -2.6891D-01       9.7182D-02       3.8806D-01       4.2487D-01
    1.1400D+02       2.2559D-01       5.4762D-01      -2.7353D-01       9.4325D-02       3.8660D-01       4.1648D-01
    1.1500D+02       2.2809D-01       5.4245D-01      -2.7803D-01       9.1521D-02       3.8527D-01       4.0798D-01
    1.1600D+02       2.3066D-01       5.3743D-01      -2.8240D-01       8.8769D-02       3.8405D-01       3.9939D-01
    1.1700D+02       2.3332D-01       5.3256D-01      -2.8666D-01       8.6068D-02       3.8294D-01       3.9071D-01
    1.1800D+02       2.3606D-01       5.2783D-01      -2.9080D-01       8.3419D-02       3.8194D-01       3.8196D-01
    1.1900D+02       2.3886D-01       5.2324D-01      -2.9483D-01       8.0820D-02       3.8105D-01       3.7316D-01
    1.2000D+02       2.4173D-01       5.1878D-01      -2.9875D-01       7.8271D-02       3.8025D-01       3.6430D-01
    1.2100D+02       2.4466D-01       5.1446D-01      -3.0257D-01       7.5771D-02       3.7956D-01       3.5542D-01
    1.2200D+02       2.4765D-01       5.1026D-01      -3.0629D-01       7.3320D-02       3.7895D-01       3.4650D-01
    1.2300D+02       2.5069D-01       5.0618D-01      -3.0992D-01       7.0918D-02       3.7844D-01       3.3756D-01
    1.2400D+02       2.5379D-01       5.0223D-01      -3.1346D-01       6.8564D-02       3.7801D-01       3.2862D-01
    1.2500D+02       2.5694D-01       4.9840D-01      -3.1690D-01       6.6257D-02       3.7767D-01       3.1968D-01
    1.2600D+02       2.6013D-01       4.9468D-01      -3.2026D-01       6.3997D-02       3.7741D-01       3.1074D-01
    1.2700D+02       2.6338D-01       4.9108D-01      -3.2354D-01       6.1783D-02       3.7723D-01       3.0181D-01
    1.2800D+02       2.6666D-01       4.8759D-01      -3.2675D-01       5.9613D-02       3.7712D-01       2.9290D-01
    1.2900D+02       2.6999D-01       4.8420D-01      -3.2987D-01       5.7488D-02       3.7710D-01       2.8403D-01
    1.3000D+02       2.7336D-01       4.8092D-01      -3.3293D-01       5.5406D-02       3.7714D-01       2.7518D-01
    1.3100D+02       2.7676D-01       4.7774D-01      -3.3591D-01       5.3365D-02       3.7725D-01       2.6638D-01
    1.3200D+02       2.8020D-01       4.7467D-01      -3.3883D-01       5.1366D-02       3.7743D-01       2.5762D-01
    1.3300D+02       2.8367D-01       4.7169D-01      -3.4168D-01       4.9407D-02       3.7768D-01       2.4892D-01
