 numangles= 181
  g= 5.92218D-01
   scat. angle           m2               m1              s21              d21           phase func.      polarization  
    5.5000D+01       1.2248D+00       1.3207D+00       1.1685D+00       2.6677D-01       1.2728D+00       3.7678D-02
    5.6000D+01       1.1700D+00       1.2653D+00       1.1115D+00       2.5667D-01       1.2177D+00       3.9125D-02
    5.7000D+01       1.1180D+00       1.2129D+00       1.0575D+00       2.4658D-01       1.1654D+00       4.0685D-02
    5.8000D+01       1.0687D+00       1.1632D+00       1.0064D+00       2.3654D-01       1.1160D+00       4.2366D-02
    5.9000D+01       1.0219D+00       1.1163D+00       9.5803D-01       2.2659D-01       1.0691D+00       4.4172D-02
    6.0000D+01       9.7748D-01       1.0720D+00       9.1227D-01       2.1678D-01       1.0247D+00       4.6108D-02
    6.1000D+01       9.3537D-01       1.0301D+00       8.6899D-01       2.0712D-01       9.8272D-01       4.8179D-02
    6.2000D+01       8.9543D-01       9.9045D-01       8.2805D-01       1.9766D-01       9.4294D-01       5.0386D-02
    6.3000D+01       8.5753D-01       9.5300D-01       7.8933D-01       1.8842D-01       9.0527D-01       5.2730D-02
    6.4000D+01       8.2158D-01       9.1760D-01       7.5270D-01       1.7942D-01       8.6959D-01       5.5210D-02
    6.5000D+01       7.8747D-01       8.8413D-01       7.1803D-01       1.7069D-01       8.3580D-01       5.7823D-02
    6.6000D+01       7.5509D-01       8.5245D-01       6.8521D-01       1.6223D-01       8.0377D-01       6.0565D-02
    6.7000D+01       7.2435D-01       8.2246D-01       6.5414D-01       1.5406D-01       7.7341D-01       6.3430D-02
    6.8000D+01       6.9516D-01       7.9406D-01       6.2469D-01       1.4619D-01       7.4461D-01       6.6410D-02
    6.9000D+01       6.6744D-01       7.6714D-01       5.9678D-01       1.3862D-01       7.1729D-01       6.9495D-02
    7.0000D+01       6.4111D-01       7.4159D-01       5.7030D-01       1.3135D-01       6.9135D-01       7.2675D-02
    7.1000D+01       6.1608D-01       7.1734D-01       5.4516D-01       1.2440D-01       6.6671D-01       7.5936D-02
    7.2000D+01       5.9231D-01       6.9429D-01       5.2128D-01       1.1775D-01       6.4330D-01       7.9265D-02
    7.3000D+01       5.6971D-01       6.7237D-01       4.9858D-01       1.1139D-01       6.2104D-01       8.2647D-02
    7.4000D+01       5.4824D-01       6.5149D-01       4.7697D-01       1.0533D-01       5.9986D-01       8.6063D-02
    7.5000D+01       5.2782D-01       6.3159D-01       4.5640D-01       9.9561D-02       5.7971D-01       8.9497D-02
    7.6000D+01       5.0843D-01       6.1260D-01       4.3679D-01       9.4064D-02       5.6051D-01       9.2928D-02
    7.7000D+01       4.8999D-01       5.9447D-01       4.1809D-01       8.8834D-02       5.4223D-01       9.6337D-02
    7.8000D+01       4.7248D-01       5.7713D-01       4.0024D-01       8.3858D-02       5.2480D-01       9.9704D-02
    7.9000D+01       4.5585D-01       5.6054D-01       3.8319D-01       7.9125D-02       5.0819D-01       1.0300D-01
    8.0000D+01       4.4006D-01       5.4465D-01       3.6689D-01       7.4621D-02       4.9236D-01       1.0622D-01
    8.1000D+01       4.2508D-01       5.2943D-01       3.5130D-01       7.0333D-02       4.7725D-01       1.0932D-01
    8.2000D+01       4.1087D-01       5.1482D-01       3.3638D-01       6.6249D-02       4.6284D-01       1.1229D-01
    8.3000D+01       3.9741D-01       5.0080D-01       3.2209D-01       6.2354D-02       4.4910D-01       1.1511D-01
    8.4000D+01       3.8466D-01       4.8734D-01       3.0840D-01       5.8634D-02       4.3600D-01       1.1774D-01
    8.5000D+01       3.7261D-01       4.7440D-01       2.9528D-01       5.5078D-02       4.2351D-01       1.2018D-01
    8.6000D+01       3.6122D-01       4.6197D-01       2.8271D-01       5.1671D-02       4.1160D-01       1.2238D-01
    8.7000D+01       3.5048D-01       4.5001D-01       2.7065D-01       4.8402D-02       4.0025D-01       1.2433D-01
    8.8000D+01       3.4036D-01       4.3851D-01       2.5908D-01       4.5258D-02       3.8944D-01       1.2602D-01
    8.9000D+01       3.3084D-01       4.2746D-01       2.4800D-01       4.2229D-02       3.7915D-01       1.2741D-01
    9.0000D+01       3.2191D-01       4.1682D-01       2.3736D-01       3.9305D-02       3.6936D-01       1.2848D-01
    9.1000D+01       3.1354D-01       4.0659D-01       2.2716D-01       3.6474D-02       3.6006D-01       1.2922D-01
    9.2000D+01       3.0571D-01       3.9675D-01       2.1739D-01       3.3730D-02       3.5123D-01       1.2960D-01
    9.3000D+01       2.9842D-01       3.8729D-01       2.0802D-01       3.1063D-02       3.4285D-01       1.2961D-01
    9.4000D+01       2.9163D-01       3.7820D-01       1.9904D-01       2.8467D-02       3.3492D-01       1.2924D-01
    9.5000D+01       2.8534D-01       3.6946D-01       1.9044D-01       2.5937D-02       3.2740D-01       1.2846D-01
    9.6000D+01       2.7953D-01       3.6106D-01       1.8220D-01       2.3466D-02       3.2030D-01       1.2727D-01
