 numangles= 181
  g= 5.86634D-01
   scat. angle           m2               m1              s21              d21           phase func.      polarization  
    5.5000D+01       1.1766D+00       1.3878D+00       1.1657D+00       2.5913D-01       1.2822D+00       8.2385D-02
    5.6000D+01       1.1254D+00       1.3374D+00       1.1131D+00       2.5107D-01       1.2314D+00       8.6110D-02
    5.7000D+01       1.0766D+00       1.2893D+00       1.0629D+00       2.4311D-01       1.1830D+00       8.9920D-02
    5.8000D+01       1.0302D+00       1.2434D+00       1.0151D+00       2.3526D-01       1.1368D+00       9.3810D-02
    5.9000D+01       9.8592D-01       1.1996D+00       9.6941D-01       2.2754D-01       1.0928D+00       9.7776D-02
    6.0000D+01       9.4380D-01       1.1578D+00       9.2584D-01       2.1995D-01       1.0508D+00       1.0181D-01
    6.1000D+01       9.0369D-01       1.1178D+00       8.8426D-01       2.1250D-01       1.0107D+00       1.0592D-01
    6.2000D+01       8.6550D-01       1.0796D+00       8.4457D-01       2.0520D-01       9.7256D-01       1.1008D-01
    6.3000D+01       8.2914D-01       1.0431D+00       8.0668D-01       1.9805D-01       9.3614D-01       1.1430D-01
    6.4000D+01       7.9452D-01       1.0083D+00       7.7050D-01       1.9106D-01       9.0140D-01       1.1857D-01
    6.5000D+01       7.6156D-01       9.7494D-01       7.3595D-01       1.8423D-01       8.6825D-01       1.2288D-01
    6.6000D+01       7.3019D-01       9.4306D-01       7.0293D-01       1.7756D-01       8.3663D-01       1.2722D-01
    6.7000D+01       7.0033D-01       9.1257D-01       6.7139D-01       1.7105D-01       8.0645D-01       1.3159D-01
    6.8000D+01       6.7191D-01       8.8339D-01       6.4125D-01       1.6470D-01       7.7765D-01       1.3597D-01
    6.9000D+01       6.4487D-01       8.5547D-01       6.1243D-01       1.5851D-01       7.5017D-01       1.4037D-01
    7.0000D+01       6.1913D-01       8.2873D-01       5.8487D-01       1.5248D-01       7.2393D-01       1.4476D-01
    7.1000D+01       5.9465D-01       8.0313D-01       5.5851D-01       1.4661D-01       6.9889D-01       1.4915D-01
    7.2000D+01       5.7137D-01       7.7861D-01       5.3330D-01       1.4089D-01       6.7499D-01       1.5351D-01
    7.3000D+01       5.4922D-01       7.5510D-01       5.0917D-01       1.3533D-01       6.5216D-01       1.5785D-01
    7.4000D+01       5.2816D-01       7.3258D-01       4.8608D-01       1.2992D-01       6.3037D-01       1.6214D-01
    7.5000D+01       5.0814D-01       7.1098D-01       4.6397D-01       1.2465D-01       6.0956D-01       1.6638D-01
    7.6000D+01       4.8912D-01       6.9027D-01       4.4280D-01       1.1953D-01       5.8970D-01       1.7055D-01
