 numangles= 181
  g= 6.46295D-01
   scat. angle           m2               m1              s21              d21           phase func.      polarization  
    5.5000D+01       1.0895D+00       1.3964D+00       1.1510D+00       2.3641D-01       1.2429D+00       1.2347D-01
    5.6000D+01       1.0347D+00       1.3393D+00       1.0936D+00       2.2891D-01       1.1870D+00       1.2827D-01
    5.7000D+01       9.8289D-01       1.2848D+00       1.0391D+00       2.2147D-01       1.1339D+00       1.3314D-01
    5.8000D+01       9.3379D-01       1.2329D+00       9.8725D-01       2.1412D-01       1.0834D+00       1.3807D-01
    5.9000D+01       8.8729D-01       1.1835D+00       9.3800D-01       2.0685D-01       1.0354D+00       1.4305D-01
    6.0000D+01       8.4327D-01       1.1364D+00       8.9120D-01       1.9969D-01       9.8985D-01       1.4808D-01
    6.1000D+01       8.0160D-01       1.0915D+00       8.4674D-01       1.9264D-01       9.4657D-01       1.5316D-01
    6.2000D+01       7.6217D-01       1.0488D+00       8.0450D-01       1.8571D-01       9.0547D-01       1.5827D-01
    6.3000D+01       7.2485D-01       1.0080D+00       7.6436D-01       1.7890D-01       8.6644D-01       1.6341D-01
    6.4000D+01       6.8955D-01       9.6917D-01       7.2623D-01       1.7222D-01       8.2936D-01       1.6857D-01
    6.5000D+01       6.5616D-01       9.3214D-01       6.9000D-01       1.6568D-01       7.9415D-01       1.7376D-01
    6.6000D+01       6.2458D-01       8.9684D-01       6.5557D-01       1.5928D-01       7.6071D-01       1.7895D-01
    6.7000D+01       5.9472D-01       8.6317D-01       6.2286D-01       1.5302D-01       7.2895D-01       1.8414D-01
    6.8000D+01       5.6649D-01       8.3107D-01       5.9178D-01       1.4690D-01       6.9878D-01       1.8932D-01
    6.9000D+01       5.3979D-01       8.0045D-01       5.6224D-01       1.4093D-01       6.7012D-01       1.9449D-01
    7.0000D+01       5.1456D-01       7.7124D-01       5.3416D-01       1.3510D-01       6.4290D-01       1.9963D-01
    7.1000D+01       4.9072D-01       7.4337D-01       5.0748D-01       1.2941D-01       6.1704D-01       2.0473D-01
    7.2000D+01       4.6818D-01       7.1677D-01       4.8211D-01       1.2387D-01       5.9248D-01       2.0979D-01
    7.3000D+01       4.4689D-01       6.9139D-01       4.5799D-01       1.1847D-01       5.6914D-01       2.1479D-01
    7.4000D+01       4.2678D-01       6.6715D-01       4.3505D-01       1.1321D-01       5.4697D-01       2.1973D-01
    7.5000D+01       4.0779D-01       6.4401D-01       4.1324D-01       1.0810D-01       5.2590D-01       2.2459D-01
    7.6000D+01       3.8985D-01       6.2191D-01       3.9250D-01       1.0312D-01       5.0588D-01       2.2936D-01
    7.7000D+01       3.7291D-01       6.0079D-01       3.7276D-01       9.8275D-02       4.8685D-01       2.3403D-01
    7.8000D+01       3.5693D-01       5.8062D-01       3.5398D-01       9.3567D-02       4.6877D-01       2.3859D-01
    7.9000D+01       3.4184D-01       5.6134D-01       3.3611D-01       8.8991D-02       4.5159D-01       2.4303D-01
    8.0000D+01       3.2761D-01       5.4291D-01       3.1910D-01       8.4545D-02       4.3526D-01       2.4733D-01
    8.1000D+01       3.1418D-01       5.2529D-01       3.0291D-01       8.0224D-02       4.1973D-01       2.5148D-01
    8.2000D+01       3.0152D-01       5.0843D-01       2.8749D-01       7.6028D-02       4.0498D-01       2.5546D-01
    8.3000D+01       2.8959D-01       4.9231D-01       2.7281D-01       7.1952D-02       3.9095D-01       2.5927D-01
    8.4000D+01       2.7834D-01       4.7688D-01       2.5882D-01       6.7995D-02       3.7761D-01       2.6289D-01
    8.5000D+01       2.6775D-01       4.6212D-01       2.4549D-01       6.4152D-02       3.6493D-01       2.6631D-01
    8.6000D+01       2.5777D-01       4.4798D-01       2.3278D-01       6.0422D-02       3.5288D-01       2.6952D-01
