 numangles= 181
  g= 5.59707D-01
   scat. angle           m2               m1              s21              d21           phase func.      polarization  
    5.5000D+01       1.2877D+00       1.7116D+00       1.4028D+00       3.2953D-01       1.4997D+00       1.4133D-01
    5.6000D+01       1.2319D+00       1.6509D+00       1.3409D+00       3.2558D-01       1.4414D+00       1.4535D-01
    5.7000D+01       1.1784D+00       1.5921D+00       1.2811D+00       3.2121D-01       1.3852D+00       1.4935D-01
    5.8000D+01       1.1271D+00       1.5352D+00       1.2235D+00       3.1643D-01       1.3311D+00       1.5332D-01
    5.9000D+01       1.0780D+00       1.4803D+00       1.1679D+00       3.1128D-01       1.2791D+00       1.5725D-01
    6.0000D+01       1.0310D+00       1.4272D+00       1.1144D+00       3.0578D-01       1.2291D+00       1.6115D-01
    6.1000D+01       9.8618D-01       1.3760D+00       1.0630D+00       2.9996D-01       1.1811D+00       1.6501D-01
    6.2000D+01       9.4337D-01       1.3266D+00       1.0135D+00       2.9385D-01       1.1350D+00       1.6882D-01
    6.3000D+01       9.0255D-01       1.2790D+00       9.6603D-01       2.8747D-01       1.0908D+00       1.7258D-01
    6.4000D+01       8.6366D-01       1.2333D+00       9.2047D-01       2.8085D-01       1.0485D+00       1.7628D-01
    6.5000D+01       8.2662D-01       1.1893D+00       8.7681D-01       2.7402D-01       1.0080D+00       1.7992D-01
    6.6000D+01       7.9139D-01       1.1471D+00       8.3498D-01       2.6701D-01       9.6924D-01       1.8349D-01
    6.7000D+01       7.5789D-01       1.1065D+00       7.9494D-01       2.5983D-01       9.3221D-01       1.8699D-01
    6.8000D+01       7.2607D-01       1.0676D+00       7.5664D-01       2.5253D-01       8.9685D-01       1.9042D-01
    6.9000D+01       6.9585D-01       1.0303D+00       7.2003D-01       2.4511D-01       8.6309D-01       1.9377D-01
    7.0000D+01       6.6717D-01       9.9462D-01       6.8506D-01       2.3761D-01       8.3089D-01       1.9704D-01
    7.1000D+01       6.3998D-01       9.6041D-01       6.5167D-01       2.3005D-01       8.0020D-01       2.0022D-01
    7.2000D+01       6.1420D-01       9.2769D-01       6.1980D-01       2.2245D-01       7.7094D-01       2.0331D-01
    7.3000D+01       5.8978D-01       8.9639D-01       5.8941D-01       2.1483D-01       7.4308D-01       2.0631D-01
