 numangles= 181
  g= 5.08038D-01
   scat. angle           m2               m1              s21              d21           phase func.      polarization  
    5.5000D+01       5.4017D-01       1.5358D+00       5.9385D-01       3.9779D-01       1.0380D+00       4.7959D-01
    5.6000D+01       5.1199D-01       1.4932D+00       5.5366D-01       3.8737D-01       1.0026D+00       4.8934D-01
    5.7000D+01       4.8563D-01       1.4525D+00       5.1543D-01       3.7721D-01       9.6908D-01       4.9888D-01
    5.8000D+01       4.6096D-01       1.4136D+00       4.7904D-01       3.6731D-01       9.3729D-01       5.0819D-01
    5.9000D+01       4.3790D-01       1.3764D+00       4.4438D-01       3.5765D-01       9.0713D-01       5.1727D-01
    6.0000D+01       4.1633D-01       1.3407D+00       4.1137D-01       3.4824D-01       8.7851D-01       5.2610D-01
    6.1000D+01       3.9617D-01       1.3065D+00       3.7990D-01       3.3908D-01       8.5134D-01       5.3465D-01
    6.2000D+01       3.7734D-01       1.2738D+00       3.4990D-01       3.3014D-01       8.2555D-01       5.4292D-01
    6.3000D+01       3.5977D-01       1.2423D+00       3.2127D-01       3.2144D-01       8.0105D-01       5.5088D-01
    6.4000D+01       3.4337D-01       1.2122D+00       2.9395D-01       3.1296D-01       7.7778D-01       5.5853D-01
    6.5000D+01       3.2807D-01       1.1833D+00       2.6786D-01       3.0470D-01       7.5566D-01       5.6585D-01
    6.6000D+01       3.1383D-01       1.1555D+00       2.4294D-01       2.9665D-01       7.3465D-01       5.7281D-01
    6.7000D+01       3.0057D-01       1.1288D+00       2.1912D-01       2.8880D-01       7.1467D-01       5.7942D-01
    6.8000D+01       2.8824D-01       1.1031D+00       1.9635D-01       2.8116D-01       6.9567D-01       5.8566D-01
    6.9000D+01       2.7680D-01       1.0784D+00       1.7458D-01       2.7372D-01       6.7761D-01       5.9151D-01
    7.0000D+01       2.6618D-01       1.0547D+00       1.5374D-01       2.6647D-01       6.6043D-01       5.9696D-01
    7.1000D+01       2.5634D-01       1.0318D+00       1.3380D-01       2.5940D-01       6.4409D-01       6.0201D-01
    7.2000D+01       2.4725D-01       1.0098D+00       1.1471D-01       2.5252D-01       6.2855D-01       6.0664D-01
    7.3000D+01       2.3885D-01       9.8866D-01       9.6428D-02       2.4581D-01       6.1376D-01       6.1084D-01
    7.4000D+01       2.3112D-01       9.6826D-01       7.8909D-02       2.3927D-01       5.9969D-01       6.1460D-01
    7.5000D+01       2.2401D-01       9.4859D-01       6.2117D-02       2.3290D-01       5.8630D-01       6.1793D-01
    7.6000D+01       2.1749D-01       9.2964D-01       4.6017D-02       2.2669D-01       5.7357D-01       6.2080D-01
    7.7000D+01       2.1154D-01       9.1135D-01       3.0575D-02       2.2064D-01       5.6145D-01       6.2322D-01
    7.8000D+01       2.0612D-01       8.9371D-01       1.5760D-02       2.1474D-01       5.4991D-01       6.2519D-01
    7.9000D+01       2.0119D-01       8.7669D-01       1.5415D-03       2.0899D-01       5.3894D-01       6.2669D-01
    8.0000D+01       1.9675D-01       8.6026D-01      -1.2109D-02       2.0339D-01       5.2850D-01       6.2773D-01
    8.1000D+01       1.9275D-01       8.4440D-01      -2.5219D-02       1.9793D-01       5.1857D-01       6.2831D-01
    8.2000D+01       1.8918D-01       8.2907D-01      -3.7813D-02       1.9260D-01       5.0913D-01       6.2842D-01
    8.3000D+01       1.8602D-01       8.1427D-01      -4.9915D-02       1.8741D-01       5.0014D-01       6.2808D-01
    8.4000D+01       1.8323D-01       7.9996D-01      -6.1548D-02       1.8234D-01       4.9160D-01       6.2727D-01
    8.5000D+01       1.8081D-01       7.8613D-01      -7.2733D-02       1.7740D-01       4.8347D-01       6.2601D-01
    8.6000D+01       1.7874D-01       7.7276D-01      -8.3492D-02       1.7259D-01       4.7575D-01       6.2430D-01
    8.7000D+01       1.7699D-01       7.5983D-01      -9.3843D-02       1.6789D-01       4.6841D-01       6.2214D-01
