 numangles= 181
  g= 5.09034D-01
   scat. angle           m2               m1              s21              d21           phase func.      polarization  
    5.5000D+01       5.7413D-01       1.6099D+00       6.0129D-01       4.7571D-01       1.0920D+00       4.7424D-01
    5.6000D+01       5.4425D-01       1.5601D+00       5.5622D-01       4.6115D-01       1.0522D+00       4.8275D-01
    5.7000D+01       5.1643D-01       1.5127D+00       5.1371D-01       4.4692D-01       1.0146D+00       4.9099D-01
    5.8000D+01       4.9053D-01       1.4675D+00       4.7360D-01       4.3304D-01       9.7903D-01       4.9896D-01
    5.9000D+01       4.6642D-01       1.4244D+00       4.3572D-01       4.1952D-01       9.4542D-01       5.0666D-01
    6.0000D+01       4.4396D-01       1.3833D+00       3.9995D-01       4.0637D-01       9.1364D-01       5.1407D-01
    6.1000D+01       4.2305D-01       1.3441D+00       3.6614D-01       3.9360D-01       8.8357D-01       5.2120D-01
    6.2000D+01       4.0357D-01       1.3066D+00       3.3417D-01       3.8121D-01       8.5510D-01       5.2804D-01
    6.3000D+01       3.8544D-01       1.2709D+00       3.0392D-01       3.6920D-01       8.2815D-01       5.3458D-01
    6.4000D+01       3.6856D-01       1.2367D+00       2.7529D-01       3.5756D-01       8.0261D-01       5.4080D-01
    6.5000D+01       3.5284D-01       1.2040D+00       2.4817D-01       3.4629D-01       7.7842D-01       5.4672D-01
    6.6000D+01       3.3822D-01       1.1727D+00       2.2246D-01       3.3539D-01       7.5548D-01       5.5231D-01
    6.7000D+01       3.2462D-01       1.1428D+00       1.9807D-01       3.2484D-01       7.3373D-01       5.5757D-01
    6.8000D+01       3.1198D-01       1.1142D+00       1.7493D-01       3.1464D-01       7.1309D-01       5.6250D-01
    6.9000D+01       3.0023D-01       1.0868D+00       1.5296D-01       3.0478D-01       6.9351D-01       5.6708D-01
    7.0000D+01       2.8933D-01       1.0605D+00       1.3208D-01       2.9525D-01       6.7493D-01       5.7131D-01
    7.1000D+01       2.7923D-01       1.0353D+00       1.1223D-01       2.8605D-01       6.5728D-01       5.7518D-01
    7.2000D+01       2.6986D-01       1.0112D+00       9.3345D-02       2.7715D-01       6.4052D-01       5.7869D-01
    7.3000D+01       2.6120D-01       9.8801D-01       7.5369D-02       2.6855D-01       6.2460D-01       5.8182D-01
    7.4000D+01       2.5319D-01       9.6576D-01       5.8248D-02       2.6025D-01       6.0948D-01       5.8457D-01
    7.5000D+01       2.4581D-01       9.4440D-01       4.1933D-02       2.5222D-01       5.9510D-01       5.8695D-01
    7.6000D+01       2.3901D-01       9.2387D-01       2.6376D-02       2.4446D-01       5.8144D-01       5.8893D-01
    7.7000D+01       2.3277D-01       9.0414D-01       1.1535D-02       2.3697D-01       5.6845D-01       5.9053D-01
    7.8000D+01       2.2704D-01       8.8517D-01      -2.6321D-03       2.2972D-01       5.5611D-01       5.9173D-01
    7.9000D+01       2.2181D-01       8.6693D-01      -1.6162D-02       2.2271D-01       5.4437D-01       5.9253D-01
    8.0000D+01       2.1705D-01       8.4936D-01      -2.9090D-02       2.1593D-01       5.3321D-01       5.9294D-01
    8.1000D+01       2.1272D-01       8.3246D-01      -4.1449D-02       2.0938D-01       5.2259D-01       5.9295D-01
    8.2000D+01       2.0881D-01       8.1618D-01      -5.3271D-02       2.0304D-01       5.1249D-01       5.9256D-01
    8.3000D+01       2.0530D-01       8.0049D-01      -6.4583D-02       1.9690D-01       5.0289D-01       5.9177D-01
    8.4000D+01       2.0215D-01       7.8537D-01      -7.5413D-02       1.9097D-01       4.9376D-01       5.9059D-01
    8.5000D+01       1.9936D-01       7.7080D-01      -8.5787D-02       1.8522D-01       4.8508D-01       5.8902D-01
    8.6000D+01       1.9690D-01       7.5674D-01      -9.5727D-02       1.7965D-01       4.7682D-01       5.8705D-01
    8.7000D+01       1.9476D-01       7.4318D-01      -1.0526D-01       1.7426D-01       4.6897D-01       5.8471D-01
    8.8000D+01       1.9292D-01       7.3010D-01      -1.1440D-01       1.6903D-01       4.6151D-01       5.8198D-01
    8.9000D+01       1.9136D-01       7.1747D-01      -1.2317D-01       1.6397D-01       4.5441D-01       5.7889D-01
    9.0000D+01       1.9007D-01       7.0527D-01      -1.3158D-01       1.5906D-01       4.4767D-01       5.7543D-01
    9.1000D+01       1.8903D-01       6.9349D-01      -1.3967D-01       1.5431D-01       4.4126D-01       5.7162D-01
    9.2000D+01       1.8823D-01       6.8211D-01      -1.4743D-01       1.4969D-01       4.3517D-01       5.6745D-01
    9.3000D+01       1.8766D-01       6.7111D-01      -1.5489D-01       1.4521D-01       4.2939D-01       5.6295D-01
    9.4000D+01       1.8731D-01       6.6048D-01      -1.6207D-01       1.4087D-01       4.2390D-01       5.5812D-01
    9.5000D+01       1.8716D-01       6.5021D-01      -1.6897D-01       1.3665D-01       4.1868D-01       5.5297D-01
    9.6000D+01       1.8721D-01       6.4027D-01      -1.7561D-01       1.3256D-01       4.1374D-01       5.4752D-01
    9.7000D+01       1.8744D-01       6.3065D-01      -1.8200D-01       1.2858D-01       4.0905D-01       5.4177D-01
    9.8000D+01       1.8784D-01       6.2135D-01      -1.8816D-01       1.2472D-01       4.0460D-01       5.3573D-01
    9.9000D+01       1.8841D-01       6.1235D-01      -1.9409D-01       1.2097D-01       4.0038D-01       5.2943D-01
    1.0000D+02       1.8913D-01       6.0364D-01      -1.9980D-01       1.1732D-01       3.9638D-01       5.2287D-01
    1.0100D+02       1.9000D-01       5.9521D-01      -2.0531D-01       1.1378D-01       3.9260D-01       5.1606D-01
    1.0200D+02       1.9100D-01       5.8705D-01      -2.1062D-01       1.1033D-01       3.8902D-01       5.0902D-01
    1.0300D+02       1.9214D-01       5.7914D-01      -2.1574D-01       1.0698D-01       3.8564D-01       5.0176D-01
    1.0400D+02       1.9340D-01       5.7149D-01      -2.2069D-01       1.0372D-01       3.8245D-01       4.9430D-01
    1.0500D+02       1.9478D-01       5.6407D-01      -2.2546D-01       1.0054D-01       3.7943D-01       4.8664D-01
    1.0600D+02       1.9627D-01       5.5689D-01      -2.3008D-01       9.7456D-02       3.7658D-01       4.7881D-01
    1.0700D+02       1.9786D-01       5.4993D-01      -2.3453D-01       9.4450D-02       3.7390D-01       4.7081D-01
    1.0800D+02       1.9956D-01       5.4319D-01      -2.3884D-01       9.1523D-02       3.7137D-01       4.6266D-01
    1.0900D+02       2.0134D-01       5.3666D-01      -2.4301D-01       8.8673D-02       3.6900D-01       4.5437D-01
    1.1000D+02       2.0321D-01       5.3033D-01      -2.4704D-01       8.5897D-02       3.6677D-01       4.4595D-01
    1.1100D+02       2.0516D-01       5.2420D-01      -2.5094D-01       8.3192D-02       3.6468D-01       4.3742D-01
    1.1200D+02       2.0719D-01       5.1825D-01      -2.5471D-01       8.0557D-02       3.6272D-01       4.2879D-01
    1.1300D+02       2.0929D-01       5.1249D-01      -2.5837D-01       7.7989D-02       3.6089D-01       4.2008D-01
    1.1400D+02       2.1145D-01       5.0690D-01      -2.6191D-01       7.5485D-02       3.5918D-01       4.1129D-01
    1.1500D+02       2.1368D-01       5.0149D-01      -2.6535D-01       7.3044D-02       3.5759D-01       4.0243D-01
    1.1600D+02       2.1597D-01       4.9625D-01      -2.6868D-01       7.0664D-02       3.5611D-01       3.9352D-01
    1.1700D+02       2.1832D-01       4.9116D-01      -2.7191D-01       6.8343D-02       3.5474D-01       3.8457D-01
    1.1800D+02       2.2071D-01       4.8623D-01      -2.7505D-01       6.6079D-02       3.5347D-01       3.7559D-01
    1.1900D+02       2.2316D-01       4.8146D-01      -2.7810D-01       6.3870D-02       3.5231D-01       3.6659D-01
    1.2000D+02       2.2564D-01       4.7683D-01      -2.8106D-01       6.1715D-02       3.5124D-01       3.5757D-01
    1.2100D+02       2.2817D-01       4.7234D-01      -2.8394D-01       5.9612D-02       3.5026D-01       3.4856D-01
    1.2200D+02       2.3074D-01       4.6800D-01      -2.8674D-01       5.7560D-02       3.4937D-01       3.3955D-01
    1.2300D+02       2.3335D-01       4.6378D-01      -2.8946D-01       5.5557D-02       3.4856D-01       3.3055D-01
    1.2400D+02       2.3598D-01       4.5970D-01      -2.9211D-01       5.3601D-02       3.4784D-01       3.2158D-01
    1.2500D+02       2.3865D-01       4.5575D-01      -2.9470D-01       5.1692D-02       3.4720D-01       3.1264D-01
    1.2600D+02       2.4135D-01       4.5192D-01      -2.9721D-01       4.9828D-02       3.4664D-01       3.0374D-01
    1.2700D+02       2.4407D-01       4.4822D-01      -2.9967D-01       4.8008D-02       3.4614D-01       2.9489D-01
    1.2800D+02       2.4682D-01       4.4463D-01      -3.0206D-01       4.6230D-02       3.4572D-01       2.8608D-01
    1.2900D+02       2.4959D-01       4.4115D-01      -3.0440D-01       4.4494D-02       3.4537D-01       2.7733D-01
    1.3000D+02       2.5238D-01       4.3779D-01      -3.0668D-01       4.2799D-02       3.4508D-01       2.6865D-01
    1.3100D+02       2.5519D-01       4.3454D-01      -3.0890D-01       4.1143D-02       3.4486D-01       2.6003D-01
    1.3200D+02       2.5802D-01       4.3139D-01      -3.1108D-01       3.9526D-02       3.4470D-01       2.5148D-01
    1.3300D+02       2.6086D-01       4.2835D-01      -3.1321D-01       3.7946D-02       3.4460D-01       2.4301D-01
    1.3400D+02       2.6372D-01       4.2540D-01      -3.1529D-01       3.6403D-02       3.4456D-01       2.3462D-01
    1.3500D+02       2.6660D-01       4.2256D-01      -3.1733D-01       3.4896D-02       3.4458D-01       2.2631D-01
    1.3600D+02       2.6948D-01       4.1981D-01      -3.1932D-01       3.3425D-02       3.4465D-01       2.1809D-01
    1.3700D+02       2.7238D-01       4.1716D-01      -3.2127D-01       3.1987D-02       3.4477D-01       2.0996D-01
    1.3800D+02       2.7529D-01       4.1459D-01      -3.2319D-01       3.0583D-02       3.4494D-01       2.0192D-01
    1.3900D+02       2.7821D-01       4.1212D-01      -3.2506D-01       2.9213D-02       3.4516D-01       1.9398D-01
    1.4000D+02       2.8113D-01       4.0973D-01      -3.2690D-01       2.7875D-02       3.4543D-01       1.8614D-01
    1.4100D+02       2.8407D-01       4.0743D-01      -3.2870D-01       2.6569D-02       3.4575D-01       1.7840D-01
    1.4200D+02       2.8701D-01       4.0522D-01      -3.3047D-01       2.5294D-02       3.4611D-01       1.7077D-01
    1.4300D+02       2.8995D-01       4.0308D-01      -3.3220D-01       2.4050D-02       3.4652D-01       1.6323D-01
    1.4400D+02       2.9290D-01       4.0103D-01      -3.3390D-01       2.2837D-02       3.4696D-01       1.5581D-01
    1.4500D+02       2.9585D-01       3.9905D-01      -3.3556D-01       2.1655D-02       3.4745D-01       1.4850D-01
    1.4600D+02       2.9881D-01       3.9715D-01      -3.3719D-01       2.0502D-02       3.4798D-01       1.4130D-01
    1.4700D+02       3.0176D-01       3.9532D-01      -3.3879D-01       1.9379D-02       3.4854D-01       1.3422D-01
    1.4800D+02       3.0470D-01       3.9357D-01      -3.4036D-01       1.8286D-02       3.4914D-01       1.2726D-01
    1.4900D+02       3.0764D-01       3.9189D-01      -3.4189D-01       1.7222D-02       3.4977D-01       1.2043D-01
    1.5000D+02       3.1058D-01       3.9027D-01      -3.4339D-01       1.6187D-02       3.5043D-01       1.1371D-01
    1.5100D+02       3.1350D-01       3.8873D-01      -3.4486D-01       1.5182D-02       3.5111D-01       1.0713D-01
    1.5200D+02       3.1640D-01       3.8725D-01      -3.4630D-01       1.4206D-02       3.5183D-01       1.0069D-01
    1.5300D+02       3.1929D-01       3.8584D-01      -3.4770D-01       1.3259D-02       3.5257D-01       9.4384D-02
    1.5400D+02       3.2215D-01       3.8450D-01      -3.4907D-01       1.2341D-02       3.5333D-01       8.8223D-02
    1.5500D+02       3.2499D-01       3.8321D-01      -3.5040D-01       1.1454D-02       3.5410D-01       8.2211D-02
    1.5600D+02       3.2780D-01       3.8199D-01      -3.5169D-01       1.0596D-02       3.5489D-01       7.6354D-02
    1.5700D+02       3.3056D-01       3.8083D-01      -3.5295D-01       9.7682D-03       3.5570D-01       7.0659D-02
