 numangles= 181
  g= 5.85366D-01
   scat. angle           m2               m1              s21              d21           phase func.      polarization  
    5.4000D+01       1.2160D+00       1.3013D+00       1.1521D+00       1.9204D-01       1.2587D+00       3.3892D-02
    5.5000D+01       1.1654D+00       1.2534D+00       1.1018D+00       1.8502D-01       1.2094D+00       3.6371D-02
    5.6000D+01       1.1171D+00       1.2076D+00       1.0539D+00       1.7819D-01       1.1624D+00       3.8917D-02
    5.7000D+01       1.0712D+00       1.1640D+00       1.0082D+00       1.7154D-01       1.1176D+00       4.1523D-02
    5.8000D+01       1.0274D+00       1.1223D+00       9.6462D-01       1.6508D-01       1.0749D+00       4.4184D-02
    5.9000D+01       9.8560D-01       1.0826D+00       9.2298D-01       1.5879D-01       1.0341D+00       4.6893D-02
    6.0000D+01       9.4580D-01       1.0446D+00       8.8323D-01       1.5268D-01       9.9520D-01       4.9643D-02
    6.1000D+01       9.0785D-01       1.0083D+00       8.4525D-01       1.4674D-01       9.5808D-01       5.2426D-02
    6.2000D+01       8.7168D-01       9.7361D-01       8.0896D-01       1.4096D-01       9.2265D-01       5.5237D-02
    6.3000D+01       8.3720D-01       9.4042D-01       7.7427D-01       1.3535D-01       8.8881D-01       5.8066D-02
    6.4000D+01       8.0432D-01       9.0865D-01       7.4110D-01       1.2990D-01       8.5649D-01       6.0905D-02
    6.5000D+01       7.7298D-01       8.7825D-01       7.0939D-01       1.2460D-01       8.2561D-01       6.3748D-02
    6.6000D+01       7.4310D-01       8.4912D-01       6.7904D-01       1.1945D-01       7.9611D-01       6.6587D-02
    6.7000D+01       7.1462D-01       8.2123D-01       6.5001D-01       1.1444D-01       7.6792D-01       6.9413D-02
    6.8000D+01       6.8747D-01       7.9450D-01       6.2222D-01       1.0956D-01       7.4098D-01       7.2221D-02
    6.9000D+01       6.6159D-01       7.6887D-01       5.9563D-01       1.0482D-01       7.1523D-01       7.5002D-02
    7.0000D+01       6.3692D-01       7.4431D-01       5.7016D-01       1.0021D-01       6.9061D-01       7.7750D-02
    7.1000D+01       6.1341D-01       7.2075D-01       5.4577D-01       9.5715D-02       6.6708D-01       8.0459D-02
    7.2000D+01       5.9101D-01       6.9816D-01       5.2241D-01       9.1343D-02       6.4458D-01       8.3121D-02
    7.3000D+01       5.6966D-01       6.7650D-01       5.0004D-01       8.7086D-02       6.2308D-01       8.5731D-02
    7.4000D+01       5.4933D-01       6.5571D-01       4.7860D-01       8.2940D-02       6.0252D-01       8.8281D-02
    7.5000D+01       5.2997D-01       6.3578D-01       4.5806D-01       7.8902D-02       5.8287D-01       9.0767D-02
    7.6000D+01       5.1153D-01       6.1666D-01       4.3838D-01       7.4970D-02       5.6409D-01       9.3180D-02
    7.7000D+01       4.9398D-01       5.9831D-01       4.1951D-01       7.1139D-02       5.4615D-01       9.5515D-02
    7.8000D+01       4.7728D-01       5.8072D-01       4.0143D-01       6.7409D-02       5.2900D-01       9.7763D-02
    7.9000D+01       4.6140D-01       5.6384D-01       3.8410D-01       6.3777D-02       5.1262D-01       9.9919D-02
    8.0000D+01       4.4629D-01       5.4765D-01       3.6749D-01       6.0240D-02       4.9697D-01       1.0197D-01
    8.1000D+01       4.3194D-01       5.3212D-01       3.5156D-01       5.6797D-02       4.8203D-01       1.0392D-01
    8.2000D+01       4.1830D-01       5.1722D-01       3.3628D-01       5.3447D-02       4.6776D-01       1.0574D-01
    8.3000D+01       4.0535D-01       5.0293D-01       3.2164D-01       5.0188D-02       4.5414D-01       1.0744D-01
    8.4000D+01       3.9306D-01       4.8923D-01       3.0759D-01       4.7018D-02       4.4115D-01       1.0899D-01
    8.5000D+01       3.8141D-01       4.7607D-01       2.9411D-01       4.3936D-02       4.2874D-01       1.1039D-01
    8.6000D+01       3.7037D-01       4.6346D-01       2.8119D-01       4.0941D-02       4.1691D-01       1.1163D-01
    8.7000D+01       3.5992D-01       4.5134D-01       2.6878D-01       3.8031D-02       4.0563D-01       1.1269D-01
    8.8000D+01       3.5003D-01       4.3972D-01       2.5688D-01       3.5205D-02       3.9488D-01       1.1357D-01
    8.9000D+01       3.4068D-01       4.2856D-01       2.4545D-01       3.2462D-02       3.8462D-01       1.1424D-01
    9.0000D+01       3.3186D-01       4.1784D-01       2.3448D-01       2.9800D-02       3.7485D-01       1.1469D-01
    9.1000D+01       3.2354D-01       4.0754D-01       2.2394D-01       2.7217D-02       3.6554D-01       1.1491D-01
    9.2000D+01       3.1569D-01       3.9764D-01       2.1382D-01       2.4711D-02       3.5667D-01       1.1488D-01
    9.3000D+01       3.0832D-01       3.8813D-01       2.0409D-01       2.2281D-02       3.4822D-01       1.1459D-01
    9.4000D+01       3.0139D-01       3.7898D-01       1.9474D-01       1.9925D-02       3.4018D-01       1.1403D-01
    9.5000D+01       2.9489D-01       3.7017D-01       1.8575D-01       1.7640D-02       3.3253D-01       1.1318D-01
    9.6000D+01       2.8881D-01       3.6169D-01       1.7710D-01       1.5424D-02       3.2525D-01       1.1203D-01
    9.7000D+01       2.8313D-01       3.5352D-01       1.6879D-01       1.3274D-02       3.1832D-01       1.1057D-01
    9.8000D+01       2.7783D-01       3.4565D-01       1.6078D-01       1.1188D-02       3.1174D-01       1.0878D-01
    9.9000D+01       2.7290D-01       3.3807D-01       1.5307D-01       9.1633D-03       3.0549D-01       1.0666D-01
    1.0000D+02       2.6833D-01       3.3076D-01       1.4565D-01       7.1975D-03       2.9955D-01       1.0419D-01
    1.0100D+02       2.6411D-01       3.2370D-01       1.3850D-01       5.2877D-03       2.9391D-01       1.0138D-01
    1.0200D+02       2.6022D-01       3.1690D-01       1.3161D-01       3.4314D-03       2.8856D-01       9.8202D-02
    1.0300D+02       2.5666D-01       3.1033D-01       1.2497D-01       1.6262D-03       2.8350D-01       9.4663D-02
    1.0400D+02       2.5341D-01       3.0400D-01       1.1857D-01      -1.3028D-04       2.7870D-01       9.0757D-02
    1.0500D+02       2.5046D-01       2.9788D-01       1.1240D-01      -1.8401D-03       2.7417D-01       8.6481D-02
    1.0600D+02       2.4781D-01       2.9198D-01       1.0644D-01      -3.5050D-03       2.6989D-01       8.1834D-02
    1.0700D+02       2.4544D-01       2.8628D-01       1.0071D-01      -5.1266D-03       2.6586D-01       7.6814D-02
    1.0800D+02       2.4335D-01       2.8079D-01       9.5171D-02      -6.7059D-03       2.6207D-01       7.1424D-02
    1.0900D+02       2.4153D-01       2.7548D-01       8.9832D-02      -8.2439D-03       2.5851D-01       6.5665D-02
    1.1000D+02       2.3998D-01       2.7037D-01       8.4683D-02      -9.7407D-03       2.5518D-01       5.9541D-02
    1.1100D+02       2.3869D-01       2.6543D-01       7.9717D-02      -1.1196D-02       2.5206D-01       5.3054D-02
    1.1200D+02       2.3765D-01       2.6068D-01       7.4925D-02      -1.2610D-02       2.4916D-01       4.6212D-02
    1.1300D+02       2.3685D-01       2.5609D-01       7.0302D-02      -1.3980D-02       2.4647D-01       3.9018D-02
    1.1400D+02       2.3630D-01       2.5166D-01       6.5840D-02      -1.5305D-02       2.4398D-01       3.1481D-02
    1.1500D+02       2.3598D-01       2.4740D-01       6.1533D-02      -1.6583D-02       2.4169D-01       2.3609D-02
    1.1600D+02       2.3590D-01       2.4328D-01       5.7372D-02      -1.7811D-02       2.3959D-01       1.5409D-02
    1.1700D+02       2.3604D-01       2.3931D-01       5.3351D-02      -1.8985D-02       2.3767D-01       6.8921D-03
    1.1800D+02       2.3639D-01       2.3548D-01       4.9461D-02      -2.0100D-02       2.3594D-01      -1.9312D-03
