 numangles= 181
  g= 4.50387D-01
   scat. angle           m2               m1              s21              d21           phase func.      polarization  
    5.5000D+01       6.7195D-01       1.6106D+00       6.9196D-01       4.9678D-01       1.1413D+00       4.1123D-01
    5.6000D+01       6.4079D-01       1.5695D+00       6.4912D-01       4.8606D-01       1.1052D+00       4.2018D-01
    5.7000D+01       6.1142D-01       1.5301D+00       6.0820D-01       4.7550D-01       1.0708D+00       4.2898D-01
    5.8000D+01       5.8375D-01       1.4922D+00       5.6909D-01       4.6509D-01       1.0380D+00       4.3762D-01
    5.9000D+01       5.5768D-01       1.4559D+00       5.3169D-01       4.5483D-01       1.0068D+00       4.4608D-01
    6.0000D+01       5.3313D-01       1.4210D+00       4.9592D-01       4.4475D-01       9.7708D-01       4.5436D-01
    6.1000D+01       5.1001D-01       1.3875D+00       4.6169D-01       4.3483D-01       9.4875D-01       4.6244D-01
    6.2000D+01       4.8826D-01       1.3553D+00       4.2892D-01       4.2508D-01       9.2176D-01       4.7030D-01
    6.3000D+01       4.6779D-01       1.3243D+00       3.9754D-01       4.1550D-01       8.9603D-01       4.7794D-01
    6.4000D+01       4.4853D-01       1.2945D+00       3.6747D-01       4.0609D-01       8.7150D-01       4.8533D-01
    6.5000D+01       4.3044D-01       1.2658D+00       3.3866D-01       3.9686D-01       8.4811D-01       4.9247D-01
    6.6000D+01       4.1344D-01       1.2382D+00       3.1103D-01       3.8779D-01       8.2580D-01       4.9935D-01
    6.7000D+01       3.9748D-01       1.2116D+00       2.8454D-01       3.7890D-01       8.0453D-01       5.0595D-01
    6.8000D+01       3.8250D-01       1.1860D+00       2.5912D-01       3.7018D-01       7.8423D-01       5.1226D-01
    6.9000D+01       3.6846D-01       1.1613D+00       2.3472D-01       3.6162D-01       7.6487D-01       5.1827D-01
    7.0000D+01       3.5531D-01       1.1375D+00       2.1130D-01       3.5323D-01       7.4639D-01       5.2396D-01
    7.1000D+01       3.4301D-01       1.1145D+00       1.8881D-01       3.4501D-01       7.2877D-01       5.2933D-01
    7.2000D+01       3.3150D-01       1.0924D+00       1.6720D-01       3.3695D-01       7.1195D-01       5.3437D-01
    7.3000D+01       3.2076D-01       1.0710D+00       1.4643D-01       3.2904D-01       6.9590D-01       5.3907D-01
    7.4000D+01       3.1074D-01       1.0504D+00       1.2647D-01       3.2130D-01       6.8058D-01       5.4342D-01
    7.5000D+01       3.0141D-01       1.0305D+00       1.0727D-01       3.1371D-01       6.6596D-01       5.4741D-01
    7.6000D+01       2.9273D-01       1.0113D+00       8.8807D-02       3.0628D-01       6.5201D-01       5.5104D-01
    7.7000D+01       2.8468D-01       9.9273D-01       7.1039D-02       2.9899D-01       6.3870D-01       5.5429D-01
    7.8000D+01       2.7722D-01       9.7478D-01       5.3938D-02       2.9185D-01       6.2600D-01       5.5716D-01
    7.9000D+01       2.7032D-01       9.5744D-01       3.7472D-02       2.8486D-01       6.1388D-01       5.5965D-01
    8.0000D+01       2.6397D-01       9.4067D-01       2.1614D-02       2.7801D-01       6.0232D-01       5.6175D-01
    8.1000D+01       2.5812D-01       9.2446D-01       6.3370D-03       2.7130D-01       5.9129D-01       5.6346D-01
    8.2000D+01       2.5276D-01       9.0877D-01      -8.3851D-03       2.6473D-01       5.8077D-01       5.6478D-01
    8.3000D+01       2.4787D-01       8.9360D-01      -2.2577D-02       2.5830D-01       5.7073D-01       5.6570D-01
    8.4000D+01       2.4342D-01       8.7892D-01      -3.6260D-02       2.5199D-01       5.6117D-01       5.6623D-01
    8.5000D+01       2.3939D-01       8.6470D-01      -4.9458D-02       2.4582D-01       5.5205D-01       5.6636D-01
    8.6000D+01       2.3577D-01       8.5094D-01      -6.2192D-02       2.3977D-01       5.4335D-01       5.6609D-01
    8.7000D+01       2.3253D-01       8.3761D-01      -7.4480D-02       2.3384D-01       5.3507D-01       5.6543D-01
    8.8000D+01       2.2965D-01       8.2471D-01      -8.6343D-02       2.2804D-01       5.2718D-01       5.6438D-01
    8.9000D+01       2.2712D-01       8.1220D-01      -9.7797D-02       2.2235D-01       5.1966D-01       5.6294D-01
    9.0000D+01       2.2493D-01       8.0009D-01      -1.0886D-01       2.1678D-01       5.1251D-01       5.6112D-01
    9.1000D+01       2.2305D-01       7.8835D-01      -1.1955D-01       2.1133D-01       5.0570D-01       5.5892D-01
    9.2000D+01       2.2148D-01       7.7697D-01      -1.2988D-01       2.0598D-01       4.9923D-01       5.5635D-01
    9.3000D+01       2.2020D-01       7.6594D-01      -1.3987D-01       2.0075D-01       4.9307D-01       5.5341D-01
    9.4000D+01       2.1919D-01       7.5524D-01      -1.4952D-01       1.9562D-01       4.8722D-01       5.5011D-01
    9.5000D+01       2.1845D-01       7.4487D-01      -1.5886D-01       1.9059D-01       4.8166D-01       5.4647D-01
    9.6000D+01       2.1796D-01       7.3481D-01      -1.6790D-01       1.8567D-01       4.7639D-01       5.4248D-01
    9.7000D+01       2.1770D-01       7.2506D-01      -1.7664D-01       1.8085D-01       4.7138D-01       5.3816D-01
    9.8000D+01       2.1768D-01       7.1559D-01      -1.8511D-01       1.7613D-01       4.6664D-01       5.3351D-01
    9.9000D+01       2.1788D-01       7.0641D-01      -1.9330D-01       1.7150D-01       4.6214D-01       5.2855D-01
    1.0000D+02       2.1828D-01       6.9750D-01      -2.0124D-01       1.6696D-01       4.5789D-01       5.2329D-01
    1.0100D+02       2.1888D-01       6.8886D-01      -2.0894D-01       1.6252D-01       4.5387D-01       5.1774D-01
    1.0200D+02       2.1968D-01       6.8047D-01      -2.1639D-01       1.5816D-01       4.5007D-01       5.1191D-01
    1.0300D+02       2.2065D-01       6.7232D-01      -2.2362D-01       1.5390D-01       4.4649D-01       5.0580D-01
    1.0400D+02       2.2180D-01       6.6442D-01      -2.3062D-01       1.4971D-01       4.4311D-01       4.9944D-01
    1.0500D+02       2.2312D-01       6.5674D-01      -2.3742D-01       1.4562D-01       4.3993D-01       4.9284D-01
    1.0600D+02       2.2459D-01       6.4930D-01      -2.4402D-01       1.4160D-01       4.3694D-01       4.8600D-01
    1.0700D+02       2.2621D-01       6.4206D-01      -2.5042D-01       1.3766D-01       4.3414D-01       4.7894D-01
    1.0800D+02       2.2798D-01       6.3504D-01      -2.5663D-01       1.3381D-01       4.3151D-01       4.7167D-01
    1.0900D+02       2.2989D-01       6.2823D-01      -2.6266D-01       1.3003D-01       4.2906D-01       4.6420D-01
    1.1000D+02       2.3192D-01       6.2161D-01      -2.6853D-01       1.2632D-01       4.2677D-01       4.5656D-01
