 numangles= 181
  g= 5.40652D-01
   scat. angle           m2               m1              s21              d21           phase func.      polarization  
    5.5000D+01       4.8351D-01       1.4110D+00       5.1804D-01       3.3513D-01       9.4724D-01       4.8956D-01
    5.6000D+01       4.5847D-01       1.3721D+00       4.8226D-01       3.2600D-01       9.1528D-01       4.9909D-01
    5.7000D+01       4.3504D-01       1.3350D+00       4.4828D-01       3.1714D-01       8.8501D-01       5.0843D-01
    5.8000D+01       4.1312D-01       1.2995D+00       4.1596D-01       3.0855D-01       8.5633D-01       5.1757D-01
    5.9000D+01       3.9260D-01       1.2657D+00       3.8521D-01       3.0024D-01       8.2913D-01       5.2649D-01
    6.0000D+01       3.7339D-01       1.2332D+00       3.5591D-01       2.9221D-01       8.0332D-01       5.3519D-01
    6.1000D+01       3.5544D-01       1.2022D+00       3.2797D-01       2.8443D-01       7.7883D-01       5.4362D-01
    6.2000D+01       3.3867D-01       1.1725D+00       3.0130D-01       2.7690D-01       7.5558D-01       5.5178D-01
    6.3000D+01       3.2302D-01       1.1440D+00       2.7581D-01       2.6960D-01       7.3350D-01       5.5962D-01
    6.4000D+01       3.0843D-01       1.1166D+00       2.5145D-01       2.6251D-01       7.1253D-01       5.6714D-01
    6.5000D+01       2.9485D-01       1.0904D+00       2.2815D-01       2.5561D-01       6.9261D-01       5.7429D-01
    6.6000D+01       2.8223D-01       1.0651D+00       2.0585D-01       2.4888D-01       6.7368D-01       5.8107D-01
    6.7000D+01       2.7051D-01       1.0409D+00       1.8452D-01       2.4232D-01       6.5570D-01       5.8745D-01
    6.8000D+01       2.5964D-01       1.0176D+00       1.6412D-01       2.3592D-01       6.3861D-01       5.9343D-01
    6.9000D+01       2.4957D-01       9.9515D-01       1.4459D-01       2.2966D-01       6.2236D-01       5.9899D-01
    7.0000D+01       2.4025D-01       9.7358D-01       1.2591D-01       2.2355D-01       6.0692D-01       6.0414D-01
    7.1000D+01       2.3163D-01       9.5282D-01       1.0803D-01       2.1758D-01       5.9223D-01       6.0888D-01
    7.2000D+01       2.2367D-01       9.3284D-01       9.0926D-02       2.1176D-01       5.7825D-01       6.1320D-01
    7.3000D+01       2.1632D-01       9.1360D-01       7.4548D-02       2.0609D-01       5.6496D-01       6.1710D-01
    7.4000D+01       2.0956D-01       8.9507D-01       5.8861D-02       2.0058D-01       5.5231D-01       6.2058D-01
    7.5000D+01       2.0334D-01       8.7721D-01       4.3828D-02       1.9521D-01       5.4028D-01       6.2363D-01
    7.6000D+01       1.9764D-01       8.6001D-01       2.9412D-02       1.9000D-01       5.2883D-01       6.2626D-01
    7.7000D+01       1.9244D-01       8.4341D-01       1.5579D-02       1.8493D-01       5.1793D-01       6.2844D-01
    7.8000D+01       1.8771D-01       8.2741D-01       2.2952D-03       1.8001D-01       5.0756D-01       6.3017D-01
    7.9000D+01       1.8343D-01       8.1196D-01      -1.0469D-02       1.7522D-01       4.9770D-01       6.3144D-01
    8.0000D+01       1.7958D-01       7.9705D-01      -2.2740D-02       1.7057D-01       4.8832D-01       6.3224D-01
    8.1000D+01       1.7614D-01       7.8265D-01      -3.4543D-02       1.6604D-01       4.7939D-01       6.3257D-01
    8.2000D+01       1.7310D-01       7.6873D-01      -4.5899D-02       1.6162D-01       4.7091D-01       6.3242D-01
    8.3000D+01       1.7043D-01       7.5528D-01      -5.6827D-02       1.5731D-01       4.6285D-01       6.3178D-01
    8.4000D+01       1.6812D-01       7.4227D-01      -6.7346D-02       1.5310D-01       4.5519D-01       6.3067D-01
    8.5000D+01       1.6614D-01       7.2969D-01      -7.7470D-02       1.4899D-01       4.4791D-01       6.2909D-01
    8.6000D+01       1.6447D-01       7.1752D-01      -8.7214D-02       1.4497D-01       4.4100D-01       6.2705D-01
    8.7000D+01       1.6310D-01       7.0575D-01      -9.6594D-02       1.4105D-01       4.3443D-01       6.2456D-01
    8.8000D+01       1.6201D-01       6.9436D-01      -1.0562D-01       1.3721D-01       4.2818D-01       6.2163D-01
    8.9000D+01       1.6118D-01       6.8333D-01      -1.1431D-01       1.3346D-01       4.2226D-01       6.1829D-01
