 numangles= 181
  g= 5.80738D-01
   scat. angle           m2               m1              s21              d21           phase func.      polarization  
    5.5000D+01       1.1946D+00       1.3499D+00       1.1701D+00       2.2191D-01       1.2722D+00       6.1051D-02
    5.6000D+01       1.1430D+00       1.2997D+00       1.1178D+00       2.1442D-01       1.2214D+00       6.4167D-02
    5.7000D+01       1.0939D+00       1.2519D+00       1.0678D+00       2.0704D-01       1.1729D+00       6.7361D-02
    5.8000D+01       1.0471D+00       1.2062D+00       1.0202D+00       1.9976D-01       1.1267D+00       7.0629D-02
    5.9000D+01       1.0025D+00       1.1627D+00       9.7476D-01       1.9261D-01       1.0826D+00       7.3967D-02
    6.0000D+01       9.6013D-01       1.1212D+00       9.3143D-01       1.8559D-01       1.0406D+00       7.7371D-02
    6.1000D+01       9.1973D-01       1.0815D+00       8.9010D-01       1.7870D-01       1.0006D+00       8.0835D-02
    6.2000D+01       8.8128D-01       1.0437D+00       8.5067D-01       1.7195D-01       9.6246D-01       8.4354D-02
    6.3000D+01       8.4466D-01       1.0075D+00       8.1304D-01       1.6536D-01       9.2609D-01       8.7922D-02
    6.4000D+01       8.0981D-01       9.7300D-01       7.7713D-01       1.5891D-01       8.9140D-01       9.1533D-02
    6.5000D+01       7.7663D-01       9.4002D-01       7.4284D-01       1.5261D-01       8.5833D-01       9.5179D-02
    6.6000D+01       7.4506D-01       9.0852D-01       7.1011D-01       1.4647D-01       8.2679D-01       9.8854D-02
    6.7000D+01       7.1501D-01       8.7841D-01       6.7885D-01       1.4048D-01       7.9671D-01       1.0255D-01
    6.8000D+01       6.8641D-01       8.4963D-01       6.4899D-01       1.3465D-01       7.6802D-01       1.0626D-01
    6.9000D+01       6.5920D-01       8.2210D-01       6.2046D-01       1.2897D-01       7.4065D-01       1.0997D-01
    7.0000D+01       6.3332D-01       7.9577D-01       5.9320D-01       1.2344D-01       7.1454D-01       1.1367D-01
    7.1000D+01       6.0870D-01       7.7058D-01       5.6714D-01       1.1805D-01       6.8964D-01       1.1736D-01
    7.2000D+01       5.8529D-01       7.4647D-01       5.4223D-01       1.1282D-01       6.6588D-01       1.2103D-01
    7.3000D+01       5.6303D-01       7.2339D-01       5.1840D-01       1.0773D-01       6.4321D-01       1.2466D-01
    7.4000D+01       5.4187D-01       7.0129D-01       4.9562D-01       1.0278D-01       6.2158D-01       1.2824D-01
    7.5000D+01       5.2176D-01       6.8012D-01       4.7381D-01       9.7968D-02       6.0094D-01       1.3176D-01
    7.6000D+01       5.0265D-01       6.5983D-01       4.5295D-01       9.3294D-02       5.8124D-01       1.3521D-01
    7.7000D+01       4.8450D-01       6.4040D-01       4.3298D-01       8.8752D-02       5.6245D-01       1.3858D-01
    7.8000D+01       4.6727D-01       6.2176D-01       4.1386D-01       8.4338D-02       5.4452D-01       1.4186D-01
    7.9000D+01       4.5092D-01       6.0390D-01       3.9555D-01       8.0051D-02       5.2741D-01       1.4503D-01
    8.0000D+01       4.3540D-01       5.8676D-01       3.7801D-01       7.5886D-02       5.1108D-01       1.4807D-01
    8.1000D+01       4.2069D-01       5.7032D-01       3.6121D-01       7.1841D-02       4.9551D-01       1.5099D-01
    8.2000D+01       4.0675D-01       5.5455D-01       3.4511D-01       6.7911D-02       4.8065D-01       1.5375D-01
    8.3000D+01       3.9354D-01       5.3940D-01       3.2967D-01       6.4094D-02       4.6647D-01       1.5635D-01
    8.4000D+01       3.8104D-01       5.2487D-01       3.1488D-01       6.0386D-02       4.5295D-01       1.5877D-01
    8.5000D+01       3.6921D-01       5.1091D-01       3.0069D-01       5.6785D-02       4.4006D-01       1.6100D-01
    8.6000D+01       3.5802D-01       4.9750D-01       2.8708D-01       5.3286D-02       4.2776D-01       1.6303D-01
    8.7000D+01       3.4746D-01       4.8462D-01       2.7402D-01       4.9888D-02       4.1604D-01       1.6483D-01
    8.8000D+01       3.3749D-01       4.7224D-01       2.6149D-01       4.6587D-02       4.0486D-01       1.6640D-01
    8.9000D+01       3.2810D-01       4.6034D-01       2.4946D-01       4.3380D-02       3.9422D-01       1.6772D-01
    9.0000D+01       3.1925D-01       4.4889D-01       2.3792D-01       4.0265D-02       3.8407D-01       1.6878D-01
    9.1000D+01       3.1093D-01       4.3789D-01       2.2683D-01       3.7239D-02       3.7441D-01       1.6955D-01
    9.2000D+01       3.0311D-01       4.2731D-01       2.1618D-01       3.4299D-02       3.6521D-01       1.7004D-01
    9.3000D+01       2.9578D-01       4.1712D-01       2.0595D-01       3.1443D-02       3.5645D-01       1.7021D-01
    9.4000D+01       2.8891D-01       4.0732D-01       1.9612D-01       2.8669D-02       3.4812D-01       1.7007D-01
    9.5000D+01       2.8250D-01       3.9788D-01       1.8666D-01       2.5974D-02       3.4019D-01       1.6959D-01
    9.6000D+01       2.7652D-01       3.8880D-01       1.7758D-01       2.3356D-02       3.3266D-01       1.6876D-01
    9.7000D+01       2.7095D-01       3.8005D-01       1.6883D-01       2.0813D-02       3.2550D-01       1.6758D-01
    9.8000D+01       2.6579D-01       3.7162D-01       1.6042D-01       1.8344D-02       3.1871D-01       1.6603D-01
    9.9000D+01       2.6102D-01       3.6350D-01       1.5233D-01       1.5946D-02       3.1226D-01       1.6410D-01
    1.0000D+02       2.5661D-01       3.5567D-01       1.4454D-01       1.3618D-02       3.0614D-01       1.6178D-01
    1.0100D+02       2.5257D-01       3.4812D-01       1.3703D-01       1.1358D-02       3.0034D-01       1.5906D-01
    1.0200D+02       2.4887D-01       3.4083D-01       1.2980D-01       9.1650D-03       2.9485D-01       1.5595D-01
    1.0300D+02       2.4551D-01       3.3381D-01       1.2283D-01       7.0381D-03       2.8966D-01       1.5242D-01
    1.0400D+02       2.4247D-01       3.2703D-01       1.1611D-01       4.9762D-03       2.8475D-01       1.4848D-01
    1.0500D+02       2.3974D-01       3.2048D-01       1.0962D-01       2.9786D-03       2.8011D-01       1.4412D-01
    1.0600D+02       2.3732D-01       3.1416D-01       1.0336D-01       1.0447D-03       2.7574D-01       1.3934D-01
    1.0700D+02       2.3518D-01       3.0805D-01       9.7310D-02      -8.2585D-04       2.7161D-01       1.3414D-01
    1.0800D+02       2.3332D-01       3.0214D-01       9.1463D-02      -2.6330D-03       2.6773D-01       1.2852D-01
    1.0900D+02       2.3173D-01       2.9643D-01       8.5808D-02      -4.3764D-03       2.6408D-01       1.2249D-01
    1.1000D+02       2.3040D-01       2.9090D-01       8.0333D-02      -6.0558D-03       2.6065D-01       1.1604D-01
    1.1100D+02       2.2933D-01       2.8555D-01       7.5028D-02      -7.6700D-03       2.5744D-01       1.0919D-01
    1.1200D+02       2.2849D-01       2.8036D-01       6.9882D-02      -9.2181D-03       2.5442D-01       1.0194D-01
    1.1300D+02       2.2788D-01       2.7533D-01       6.4885D-02      -1.0698D-02       2.5161D-01       9.4305D-02
    1.1400D+02       2.2749D-01       2.7045D-01       6.0026D-02      -1.2109D-02       2.4897D-01       8.6289D-02
    1.1500D+02       2.2731D-01       2.6572D-01       5.5296D-02      -1.3447D-02       2.4651D-01       7.7908D-02
    1.1600D+02       2.2732D-01       2.6111D-01       5.0683D-02      -1.4711D-02       2.4422D-01       6.9176D-02
    1.1700D+02       2.2753D-01       2.5663D-01       4.6177D-02      -1.5897D-02       2.4208D-01       6.0110D-02
