 numangles= 181
  g= 6.00007D-01
   scat. angle           m2               m1              s21              d21           phase func.      polarization  
    5.5000D+01       1.2061D+00       1.3537D+00       1.1608D+00       3.0231D-01       1.2799D+00       5.7668D-02
    5.6000D+01       1.1516D+00       1.2979D+00       1.1034D+00       2.9154D-01       1.2247D+00       5.9725D-02
    5.7000D+01       1.0998D+00       1.2450D+00       1.0491D+00       2.8077D-01       1.1724D+00       6.1899D-02
    5.8000D+01       1.0508D+00       1.1949D+00       9.9762D-01       2.7005D-01       1.1229D+00       6.4195D-02
    5.9000D+01       1.0043D+00       1.1476D+00       9.4895D-01       2.5943D-01       1.0759D+00       6.6621D-02
    6.0000D+01       9.6012D-01       1.1028D+00       9.0290D-01       2.4895D-01       1.0315D+00       6.9180D-02
    6.1000D+01       9.1827D-01       1.0605D+00       8.5935D-01       2.3863D-01       9.8939D-01       7.1877D-02
    6.2000D+01       8.7858D-01       1.0205D+00       8.1815D-01       2.2853D-01       9.4952D-01       7.4712D-02
    6.3000D+01       8.4093D-01       9.8260D-01       7.7917D-01       2.1865D-01       9.1176D-01       7.7688D-02
    6.4000D+01       8.0521D-01       9.4677D-01       7.4229D-01       2.0903D-01       8.7599D-01       8.0803D-02
    6.5000D+01       7.7131D-01       9.1287D-01       7.0739D-01       1.9969D-01       8.4209D-01       8.4055D-02
    6.6000D+01       7.3913D-01       8.8077D-01       6.7435D-01       1.9064D-01       8.0995D-01       8.7439D-02
    6.7000D+01       7.0858D-01       8.5036D-01       6.4305D-01       1.8189D-01       7.7947D-01       9.0949D-02
    6.8000D+01       6.7957D-01       8.2154D-01       6.1339D-01       1.7346D-01       7.5055D-01       9.4579D-02
    6.9000D+01       6.5201D-01       7.9420D-01       5.8526D-01       1.6535D-01       7.2310D-01       9.8318D-02
    7.0000D+01       6.2583D-01       7.6824D-01       5.5858D-01       1.5756D-01       6.9703D-01       1.0216D-01
    7.1000D+01       6.0095D-01       7.4357D-01       5.3324D-01       1.5009D-01       6.7226D-01       1.0608D-01
    7.2000D+01       5.7730D-01       7.2011D-01       5.0916D-01       1.4294D-01       6.4870D-01       1.1008D-01
    7.3000D+01       5.5482D-01       6.9777D-01       4.8626D-01       1.3611D-01       6.2630D-01       1.1413D-01
    7.4000D+01       5.3345D-01       6.7649D-01       4.6447D-01       1.2959D-01       6.0497D-01       1.1822D-01
    7.5000D+01       5.1314D-01       6.5618D-01       4.4371D-01       1.2337D-01       5.8466D-01       1.2233D-01
    7.6000D+01       4.9383D-01       6.3679D-01       4.2391D-01       1.1745D-01       5.6531D-01       1.2645D-01
    7.7000D+01       4.7547D-01       6.1826D-01       4.0503D-01       1.1180D-01       5.4687D-01       1.3055D-01
    7.8000D+01       4.5803D-01       6.0053D-01       3.8700D-01       1.0643D-01       5.2928D-01       1.3461D-01
    7.9000D+01       4.4146D-01       5.8354D-01       3.6977D-01       1.0131D-01       5.1250D-01       1.3861D-01
    8.0000D+01       4.2573D-01       5.6726D-01       3.5329D-01       9.6437D-02       4.9649D-01       1.4253D-01
    8.1000D+01       4.1079D-01       5.5164D-01       3.3752D-01       9.1794D-02       4.8122D-01       1.4635D-01
    8.2000D+01       3.9663D-01       5.3664D-01       3.2241D-01       8.7367D-02       4.6663D-01       1.5003D-01
    8.3000D+01       3.8319D-01       5.2223D-01       3.0794D-01       8.3144D-02       4.5271D-01       1.5356D-01
    8.4000D+01       3.7047D-01       5.0838D-01       2.9407D-01       7.9110D-02       4.3942D-01       1.5692D-01
    8.5000D+01       3.5843D-01       4.9505D-01       2.8077D-01       7.5253D-02       4.2674D-01       1.6007D-01
    8.6000D+01       3.4704D-01       4.8222D-01       2.6800D-01       7.1558D-02       4.1463D-01       1.6301D-01
    8.7000D+01       3.3629D-01       4.6986D-01       2.5575D-01       6.8015D-02       4.0307D-01       1.6570D-01
    8.8000D+01       3.2614D-01       4.5796D-01       2.4399D-01       6.4610D-02       3.9205D-01       1.6811D-01
    8.9000D+01       3.1659D-01       4.4650D-01       2.3270D-01       6.1333D-02       3.8154D-01       1.7024D-01
    9.0000D+01       3.0760D-01       4.3545D-01       2.2186D-01       5.8173D-02       3.7153D-01       1.7206D-01
    9.1000D+01       2.9916D-01       4.2480D-01       2.1144D-01       5.5120D-02       3.6198D-01       1.7354D-01
    9.2000D+01       2.9125D-01       4.1454D-01       2.0144D-01       5.2166D-02       3.5290D-01       1.7468D-01
    9.3000D+01       2.8386D-01       4.0465D-01       1.9184D-01       4.9301D-02       3.4425D-01       1.7544D-01
    9.4000D+01       2.7695D-01       3.9511D-01       1.8261D-01       4.6519D-02       3.3603D-01       1.7582D-01
    9.5000D+01       2.7052D-01       3.8592D-01       1.7376D-01       4.3813D-02       3.2822D-01       1.7580D-01
    9.6000D+01       2.6455D-01       3.7707D-01       1.6525D-01       4.1177D-02       3.2081D-01       1.7538D-01
    9.7000D+01       2.5901D-01       3.6854D-01       1.5709D-01       3.8608D-02       3.1377D-01       1.7453D-01
    9.8000D+01       2.5390D-01       3.6031D-01       1.4925D-01       3.6101D-02       3.0711D-01       1.7325D-01
    9.9000D+01       2.4919D-01       3.5239D-01       1.4173D-01       3.3654D-02       3.0079D-01       1.7154D-01
    1.0000D+02       2.4487D-01       3.4476D-01       1.3451D-01       3.1263D-02       2.9482D-01       1.6940D-01
    1.0100D+02       2.4093D-01       3.3740D-01       1.2758D-01       2.8930D-02       2.8916D-01       1.6682D-01
