 numangles= 181
  g= 5.99782D-01
   scat. angle           m2               m1              s21              d21           phase func.      polarization  
    5.5000D+01       1.1296D+00       1.2858D+00       1.0869D+00       2.2397D-01       1.2077D+00       6.4685D-02
    5.6000D+01       1.0817D+00       1.2396D+00       1.0388D+00       2.1634D-01       1.1607D+00       6.8031D-02
    5.7000D+01       1.0361D+00       1.1955D+00       9.9293D-01       2.0891D-01       1.1158D+00       7.1444D-02
    5.8000D+01       9.9268D-01       1.1535D+00       9.4913D-01       2.0167D-01       1.0731D+00       7.4919D-02
    5.9000D+01       9.5132D-01       1.1133D+00       9.0734D-01       1.9463D-01       1.0323D+00       7.8453D-02
    6.0000D+01       9.1191D-01       1.0749D+00       8.6743D-01       1.8779D-01       9.9341D-01       8.2039D-02
    6.1000D+01       8.7437D-01       1.0382D+00       8.2932D-01       1.8113D-01       9.5630D-01       8.5673D-02
    6.2000D+01       8.3861D-01       1.0032D+00       7.9291D-01       1.7466D-01       9.2088D-01       8.9347D-02
    6.3000D+01       8.0453D-01       9.6963D-01       7.5812D-01       1.6837D-01       8.8708D-01       9.3057D-02
    6.4000D+01       7.7206D-01       9.3754D-01       7.2486D-01       1.6226D-01       8.5480D-01       9.6796D-02
    6.5000D+01       7.4112D-01       9.0683D-01       6.9306D-01       1.5631D-01       8.2398D-01       1.0056D-01
    6.6000D+01       7.1164D-01       8.7744D-01       6.6265D-01       1.5054D-01       7.9454D-01       1.0433D-01
    6.7000D+01       6.8356D-01       8.4929D-01       6.3355D-01       1.4492D-01       7.6642D-01       1.0812D-01
    6.8000D+01       6.5680D-01       8.2233D-01       6.0570D-01       1.3947D-01       7.3956D-01       1.1191D-01
    6.9000D+01       6.3131D-01       7.9649D-01       5.7905D-01       1.3416D-01       7.1390D-01       1.1569D-01
    7.0000D+01       6.0703D-01       7.7173D-01       5.5354D-01       1.2901D-01       6.8938D-01       1.1945D-01
    7.1000D+01       5.8391D-01       7.4798D-01       5.2910D-01       1.2400D-01       6.6595D-01       1.2319D-01
    7.2000D+01       5.6189D-01       7.2522D-01       5.0569D-01       1.1913D-01       6.4355D-01       1.2690D-01
    7.3000D+01       5.4092D-01       7.0338D-01       4.8327D-01       1.1440D-01       6.2215D-01       1.3057D-01
    7.4000D+01       5.2096D-01       6.8243D-01       4.6177D-01       1.0979D-01       6.0169D-01       1.3418D-01
    7.5000D+01       5.0195D-01       6.6232D-01       4.4117D-01       1.0532D-01       5.8214D-01       1.3774D-01
    7.6000D+01       4.8387D-01       6.4302D-01       4.2142D-01       1.0097D-01       5.6344D-01       1.4122D-01
    7.7000D+01       4.6667D-01       6.2448D-01       4.0248D-01       9.6740D-02       5.4558D-01       1.4463D-01
    7.8000D+01       4.5031D-01       6.0668D-01       3.8432D-01       9.2627D-02       5.2850D-01       1.4794D-01
    7.9000D+01       4.3476D-01       5.8958D-01       3.6689D-01       8.8627D-02       5.1217D-01       1.5115D-01
    8.0000D+01       4.1997D-01       5.7316D-01       3.5017D-01       8.4737D-02       4.9656D-01       1.5424D-01
    8.1000D+01       4.0592D-01       5.5737D-01       3.3412D-01       8.0954D-02       4.8165D-01       1.5721D-01
    8.2000D+01       3.9258D-01       5.4219D-01       3.1871D-01       7.7275D-02       4.6739D-01       1.6004D-01
    8.3000D+01       3.7992D-01       5.2760D-01       3.0392D-01       7.3696D-02       4.5376D-01       1.6272D-01
    8.4000D+01       3.6791D-01       5.1356D-01       2.8972D-01       7.0215D-02       4.4073D-01       1.6524D-01
    8.5000D+01       3.5651D-01       5.0006D-01       2.7608D-01       6.6828D-02       4.2829D-01       1.6759D-01
    8.6000D+01       3.4572D-01       4.8707D-01       2.6298D-01       6.3535D-02       4.1639D-01       1.6974D-01
    8.7000D+01       3.3549D-01       4.7458D-01       2.5039D-01       6.0330D-02       4.0503D-01       1.7170D-01
    8.8000D+01       3.2581D-01       4.6254D-01       2.3829D-01       5.7213D-02       3.9418D-01       1.7344D-01
    8.9000D+01       3.1666D-01       4.5096D-01       2.2666D-01       5.4181D-02       3.8381D-01       1.7495D-01
    9.0000D+01       3.0802D-01       4.3981D-01       2.1549D-01       5.1232D-02       3.7391D-01       1.7623D-01
    9.1000D+01       2.9986D-01       4.2907D-01       2.0474D-01       4.8363D-02       3.6446D-01       1.7726D-01
    9.2000D+01       2.9217D-01       4.1872D-01       1.9441D-01       4.5573D-02       3.5544D-01       1.7802D-01
    9.3000D+01       2.8492D-01       4.0875D-01       1.8447D-01       4.2859D-02       3.4684D-01       1.7851D-01
    9.4000D+01       2.7811D-01       3.9914D-01       1.7491D-01       4.0220D-02       3.3862D-01       1.7871D-01
    9.5000D+01       2.7171D-01       3.8988D-01       1.6571D-01       3.7654D-02       3.3079D-01       1.7861D-01
    9.6000D+01       2.6570D-01       3.8095D-01       1.5687D-01       3.5159D-02       3.2332D-01       1.7821D-01
    9.7000D+01       2.6008D-01       3.7233D-01       1.4835D-01       3.2733D-02       3.1621D-01       1.7749D-01
    9.8000D+01       2.5483D-01       3.6403D-01       1.4015D-01       3.0375D-02       3.0943D-01       1.7644D-01
    9.9000D+01       2.4994D-01       3.5601D-01       1.3225D-01       2.8085D-02       3.0297D-01       1.7506D-01
    1.0000D+02       2.4538D-01       3.4828D-01       1.2465D-01       2.5859D-02       2.9683D-01       1.7334D-01
    1.0100D+02       2.4115D-01       3.4082D-01       1.1733D-01       2.3697D-02       2.9099D-01       1.7126D-01
    1.0200D+02       2.3724D-01       3.3362D-01       1.1027D-01       2.1598D-02       2.8543D-01       1.6883D-01
    1.0300D+02       2.3363D-01       3.2667D-01       1.0347D-01       1.9561D-02       2.8015D-01       1.6605D-01
    1.0400D+02       2.3032D-01       3.1995D-01       9.6908D-02       1.7584D-02       2.7514D-01       1.6289D-01
    1.0500D+02       2.2729D-01       3.1347D-01       9.0584D-02       1.5668D-02       2.7038D-01       1.5938D-01
    1.0600D+02       2.2453D-01       3.0721D-01       8.4482D-02       1.3810D-02       2.6587D-01       1.5549D-01
    1.0700D+02       2.2203D-01       3.0116D-01       7.8594D-02       1.2011D-02       2.6159D-01       1.5124D-01
    1.0800D+02       2.1979D-01       2.9531D-01       7.2909D-02       1.0271D-02       2.5755D-01       1.4662D-01
    1.0900D+02       2.1778D-01       2.8966D-01       6.7419D-02       8.5876D-03       2.5372D-01       1.4164D-01
    1.1000D+02       2.1602D-01       2.8420D-01       6.2113D-02       6.9623D-03       2.5011D-01       1.3630D-01
    1.1100D+02       2.1448D-01       2.7892D-01       5.6984D-02       5.3946D-03       2.4670D-01       1.3060D-01
    1.1200D+02       2.1315D-01       2.7381D-01       5.2023D-02       3.8849D-03       2.4348D-01       1.2456D-01
