 numangles= 181
  g= 4.37525D-01
   scat. angle           m2               m1              s21              d21           phase func.      polarization  
    5.5000D+01       7.3043D-01       1.7411D+00       7.7367D-01       5.9637D-01       1.2358D+00       4.0894D-01
    5.6000D+01       6.9663D-01       1.6941D+00       7.2272D-01       5.8519D-01       1.1954D+00       4.1723D-01
    5.7000D+01       6.6491D-01       1.6488D+00       6.7407D-01       5.7377D-01       1.1568D+00       4.2524D-01
    5.8000D+01       6.3516D-01       1.6051D+00       6.2763D-01       5.6216D-01       1.1201D+00       4.3297D-01
    5.9000D+01       6.0726D-01       1.5631D+00       5.8333D-01       5.5041D-01       1.0852D+00       4.4041D-01
    6.0000D+01       5.8111D-01       1.5226D+00       5.4107D-01       5.3856D-01       1.0519D+00       4.4754D-01
    6.1000D+01       5.5660D-01       1.4836D+00       5.0078D-01       5.2665D-01       1.0201D+00       4.5438D-01
    6.2000D+01       5.3364D-01       1.4461D+00       4.6236D-01       5.1472D-01       9.8989D-01       4.6091D-01
    6.3000D+01       5.1214D-01       1.4100D+00       4.2575D-01       5.0281D-01       9.6108D-01       4.6712D-01
    6.4000D+01       4.9200D-01       1.3753D+00       3.9085D-01       4.9094D-01       9.3364D-01       4.7303D-01
    6.5000D+01       4.7315D-01       1.3418D+00       3.5759D-01       4.7914D-01       9.0749D-01       4.7862D-01
    6.6000D+01       4.5550D-01       1.3096D+00       3.2590D-01       4.6744D-01       8.8257D-01       4.8390D-01
    6.7000D+01       4.3899D-01       1.2787D+00       2.9570D-01       4.5586D-01       8.5882D-01       4.8885D-01
    6.8000D+01       4.2354D-01       1.2488D+00       2.6691D-01       4.4442D-01       8.3619D-01       4.9349D-01
    6.9000D+01       4.0909D-01       1.2201D+00       2.3947D-01       4.3313D-01       8.1461D-01       4.9781D-01
    7.0000D+01       3.9558D-01       1.1925D+00       2.1331D-01       4.2202D-01       7.9405D-01       5.0181D-01
    7.1000D+01       3.8296D-01       1.1659D+00       1.8837D-01       4.1108D-01       7.7443D-01       5.0550D-01
    7.2000D+01       3.7117D-01       1.1403D+00       1.6458D-01       4.0033D-01       7.5573D-01       5.0886D-01
    7.3000D+01       3.6016D-01       1.1156D+00       1.4189D-01       3.8979D-01       7.3789D-01       5.1191D-01
    7.4000D+01       3.4989D-01       1.0919D+00       1.2024D-01       3.7945D-01       7.2088D-01       5.1463D-01
    7.5000D+01       3.4031D-01       1.0690D+00       9.9578D-02       3.6932D-01       7.0464D-01       5.1704D-01
    7.6000D+01       3.3139D-01       1.0469D+00       7.9851D-02       3.5940D-01       6.8916D-01       5.1913D-01
    7.7000D+01       3.2309D-01       1.0257D+00       6.1010D-02       3.4970D-01       6.7438D-01       5.2091D-01
    7.8000D+01       3.1537D-01       1.0052D+00       4.3011D-02       3.4023D-01       6.6027D-01       5.2237D-01
    7.9000D+01       3.0820D-01       9.8542D-01       2.5808D-02       3.3097D-01       6.4681D-01       5.2351D-01
    8.0000D+01       3.0155D-01       9.6638D-01       9.3610D-03       3.2193D-01       6.3396D-01       5.2434D-01
    8.1000D+01       2.9540D-01       9.4800D-01      -6.3708D-03       3.1310D-01       6.2170D-01       5.2486D-01
    8.2000D+01       2.8971D-01       9.3028D-01      -2.1424D-02       3.0449D-01       6.0999D-01       5.2507D-01
    8.3000D+01       2.8446D-01       9.1318D-01      -3.5835D-02       2.9610D-01       5.9882D-01       5.2497D-01
    8.4000D+01       2.7963D-01       8.9667D-01      -4.9636D-02       2.8791D-01       5.8815D-01       5.2456D-01
    8.5000D+01       2.7520D-01       8.8074D-01      -6.2859D-02       2.7994D-01       5.7797D-01       5.2385D-01
