 numangles= 181
  g= 6.10595D-01
   scat. angle           m2               m1              s21              d21           phase func.      polarization  
    5.5000D+01       1.2917D+00       1.3824D+00       1.2408D+00       3.3557D-01       1.3370D+00       3.3916D-02
    5.6000D+01       1.2322D+00       1.3156D+00       1.1752D+00       3.2628D-01       1.2739D+00       3.2730D-02
    5.7000D+01       1.1757D+00       1.2520D+00       1.1128D+00       3.1664D-01       1.2138D+00       3.1421D-02
    5.8000D+01       1.1220D+00       1.1914D+00       1.0536D+00       3.0671D-01       1.1567D+00       2.9998D-02
    5.9000D+01       1.0712D+00       1.1339D+00       9.9731D-01       2.9652D-01       1.1025D+00       2.8472D-02
    6.0000D+01       1.0229D+00       1.0794D+00       9.4399D-01       2.8614D-01       1.0512D+00       2.6854D-02
    6.1000D+01       9.7724D-01       1.0277D+00       8.9350D-01       2.7561D-01       1.0025D+00       2.5158D-02
    6.2000D+01       9.3397D-01       9.7873D-01       8.4575D-01       2.6496D-01       9.5635D-01       2.3400D-02
    6.3000D+01       8.9303D-01       9.3245D-01       8.0062D-01       2.5425D-01       9.1274D-01       2.1596D-02
    6.4000D+01       8.5429D-01       8.8874D-01       7.5801D-01       2.4352D-01       8.7151D-01       1.9765D-02
    6.5000D+01       8.1765D-01       8.4750D-01       7.1782D-01       2.3280D-01       8.3257D-01       1.7925D-02
    6.6000D+01       7.8301D-01       8.0863D-01       6.7995D-01       2.2214D-01       7.9582D-01       1.6098D-02
    6.7000D+01       7.5026D-01       7.7203D-01       6.4429D-01       2.1156D-01       7.6114D-01       1.4302D-02
    6.8000D+01       7.1930D-01       7.3760D-01       6.1073D-01       2.0110D-01       7.2845D-01       1.2560D-02
    6.9000D+01       6.9004D-01       7.0524D-01       5.7919D-01       1.9079D-01       6.9764D-01       1.0891D-02
    7.0000D+01       6.6239D-01       6.7485D-01       5.4954D-01       1.8065D-01       6.6862D-01       9.3160D-03
    7.1000D+01       6.3626D-01       6.4633D-01       5.2171D-01       1.7071D-01       6.4129D-01       7.8539D-03
    7.2000D+01       6.1156D-01       6.1959D-01       4.9559D-01       1.6099D-01       6.1557D-01       6.5226D-03
    7.3000D+01       5.8822D-01       5.9453D-01       4.7108D-01       1.5152D-01       5.9138D-01       5.3384D-03
    7.4000D+01       5.6616D-01       5.7107D-01       4.4811D-01       1.4230D-01       5.6862D-01       4.3155D-03
    7.5000D+01       5.4532D-01       5.4911D-01       4.2659D-01       1.3335D-01       5.4722D-01       3.4657D-03
    7.6000D+01       5.2562D-01       5.2857D-01       4.0643D-01       1.2469D-01       5.2709D-01       2.7981D-03
    7.7000D+01       5.0700D-01       5.0936D-01       3.8754D-01       1.1632D-01       5.0818D-01       2.3189D-03
    7.8000D+01       4.8941D-01       4.9140D-01       3.6987D-01       1.0825D-01       4.9040D-01       2.0309D-03
    7.9000D+01       4.7279D-01       4.7462D-01       3.5332D-01       1.0049D-01       4.7370D-01       1.9334D-03
    8.0000D+01       4.5708D-01       4.5893D-01       3.3784D-01       9.3044D-02       4.5801D-01       2.0224D-03
    8.1000D+01       4.4225D-01       4.4428D-01       3.2336D-01       8.5910D-02       4.4326D-01       2.2900D-03
    8.2000D+01       4.2824D-01       4.3058D-01       3.0980D-01       7.9090D-02       4.2941D-01       2.7248D-03
    8.3000D+01       4.1502D-01       4.1778D-01       2.9712D-01       7.2584D-02       4.1640D-01       3.3116D-03
    8.4000D+01       4.0255D-01       4.0581D-01       2.8525D-01       6.6389D-02       4.0418D-01       4.0320D-03
    8.5000D+01       3.9079D-01       3.9461D-01       2.7414D-01       6.0502D-02       3.9270D-01       4.8640D-03
    8.6000D+01       3.7971D-01       3.8412D-01       2.6374D-01       5.4919D-02       3.8192D-01       5.7827D-03
    8.7000D+01       3.6927D-01       3.7430D-01       2.5400D-01       4.9633D-02       3.7178D-01       6.7602D-03
    8.8000D+01       3.5945D-01       3.6508D-01       2.4487D-01       4.4638D-02       3.6227D-01       7.7663D-03
    8.9000D+01       3.5022D-01       3.5642D-01       2.3631D-01       3.9928D-02       3.5332D-01       8.7687D-03
    9.0000D+01       3.4155D-01       3.4827D-01       2.2828D-01       3.5494D-02       3.4491D-01       9.7332D-03
    9.1000D+01       3.3342D-01       3.4059D-01       2.2073D-01       3.1328D-02       3.3700D-01       1.0624D-02
    9.2000D+01       3.2581D-01       3.3333D-01       2.1363D-01       2.7422D-02       3.2957D-01       1.1406D-02
    9.3000D+01       3.1868D-01       3.2645D-01       2.0695D-01       2.3768D-02       3.2257D-01       1.2042D-02
    9.4000D+01       3.1202D-01       3.1992D-01       2.0063D-01       2.0355D-02       3.1597D-01       1.2495D-02
    9.5000D+01       3.0581D-01       3.1370D-01       1.9467D-01       1.7174D-02       3.0976D-01       1.2730D-02
    9.6000D+01       3.0003D-01       3.0775D-01       1.8901D-01       1.4217D-02       3.0389D-01       1.2710D-02
    9.7000D+01       2.9465D-01       3.0205D-01       1.8364D-01       1.1474D-02       2.9835D-01       1.2402D-02
    9.8000D+01       2.8965D-01       2.9656D-01       1.7851D-01       8.9365D-03       2.9311D-01       1.1773D-02
    9.9000D+01       2.8503D-01       2.9124D-01       1.7362D-01       6.5946D-03       2.8814D-01       1.0792D-02
    1.0000D+02       2.8074D-01       2.8609D-01       1.6891D-01       4.4397D-03       2.8341D-01       9.4309D-03
    1.0100D+02       2.7678D-01       2.8106D-01       1.6438D-01       2.4633D-03       2.7892D-01       7.6630D-03
    1.0200D+02       2.7313D-01       2.7613D-01       1.6000D-01       6.5671D-04       2.7463D-01       5.4641D-03
    1.0300D+02       2.6977D-01       2.7129D-01       1.5574D-01      -9.8813D-04       2.7053D-01       2.8126D-03
    1.0400D+02       2.6667D-01       2.6651D-01       1.5158D-01      -2.4792D-03       2.6659D-01      -3.1048D-04
    1.0500D+02       2.6383D-01       2.6177D-01       1.4749D-01      -3.8243D-03       2.6280D-01      -3.9216D-03
    1.0600D+02       2.6122D-01       2.5705D-01       1.4347D-01      -5.0306D-03       2.5913D-01      -8.0346D-03
    1.0700D+02       2.5881D-01       2.5234D-01       1.3947D-01      -6.1055D-03       2.5558D-01      -1.2661D-02
    1.0800D+02       2.5661D-01       2.4763D-01       1.3550D-01      -7.0557D-03       2.5212D-01      -1.7809D-02
    1.0900D+02       2.5458D-01       2.4290D-01       1.3153D-01      -7.8878D-03       2.4874D-01      -2.3486D-02
